676,Remove methods deprecated by commit 6061bb4
2017-12-06T00:08:36Z,discuss,@yole
2017-12-06T11:38:54Z,discuss,"Merged manually, thank you!"
2017-12-06T00:04:54Z,commit,Remove methods deprecated by commit,github.com/JetBrains/intellij-community/pull/676/commits/dca1b957b03a3bb8be9f527f6a9121a2959af886
