430,IDEA-158882 Adding support for setting.xml set via .mvn/maven.config
2016-07-21T22:48:38Z,discuss,Maven 3.3 provides support for supplying project-specific maven execution arguments via .mvn/maven.config under the project base directory. This patch address issue IDEA-158882 to honors the --settings or -s argument supplied in that file.
2016-07-22T08:44:11Z,discuss,"Have you submitted a contributor license agreement? If not, please check your inbox: I've just send there the CLA to sign. Thanks."
2016-07-22T18:56:30Z,discuss,I Just faxed the CLA. Thanks.
2016-07-26T13:01:08Z,discuss,"Received, thanks."
2016-08-10T10:43:51Z,discuss,"It seems the fix is not complete, it's just an illustration of needed support. The settings.xml set via .mvn/maven.config actually is not used for the project import, am I right or I miss something?"
2016-07-21T22:44:23Z,commit,IDEA-158882 Adding support for setting.xml set via .mvn/maven.config бн,github.com/JetBrains/intellij-community/pull/430/commits/2e0767ff6c58efd4c95d0fea4d8d0dd292ea75b3
