1239,TypeMigrationStatementProcessor should process non array PsiNewExpression the same way it processes PsiMethodCallExpression
2019-11-08T11:12:21Z,discuss,Let be:
2019-11-08T11:12:21Z,discuss,"When triggering TypeMigration on int i = 0 to migrate int to long, it ends up with the following result:"
2019-11-08T11:12:21Z,discuss,new Foo(i); does not compile anymore.
2019-11-08T11:12:21Z,discuss,This PR fixes it by processing non  array PsiNewExpression the same way as PsiMethodCallExpression.
2019-11-18T19:45:25Z,discuss,Tests added
2019-12-10T16:50:03Z,discuss,Hello?
2019-11-08T11:05:58Z,commit,TypeMigrationStatementProcessor should process non array PsiNewExpres¡­,github.com/JetBrains/intellij-community/pull/1239/commits/70aa0de4fc28dcb114da8b0a26ca207d3694959e
