44,IDEA-97675 There is no 'constructor call' usage in code preview in 'colors & fonts' for Java
2013-03-07T12:42:57Z,discuss,"
No description provided.
"
2013-03-07T18:02:00Z,discuss,Merged manually. Thanks!
2013-03-07T12:37:30Z,commit,IDEA-97675 There is no 'constructor call' usage in code preview in 'c¡­,github.com/JetBrains/intellij-community/pull/44/commits/7e42cf3f3195517cc7c647e1fa8d2a323d8cc031
