1158,Fix typo
2019-06-13T14:52:08Z,discuss,"
No description provided.
"
2019-06-14T10:42:37Z,discuss,Merged manually. Thank you for the contribution!
2019-06-13T14:51:43Z,commit,Fix typo,github.com/JetBrains/intellij-community/pull/1158/commits/d343fcc9b70d16971f255e66fb4ef720f19d04b4
