731,173
2018-02-11T16:29:02Z,discuss,I need IntelliJ IDEA source code for the purpose of developing a new plugin. Thanks!
2018-02-12T10:24:52Z,discuss,"@baocatsamac you do not need to create malformed pull requests to develop plugins for IntelliJ IDEA.
Start reading docs from this page: https://www.jetbrains.org/intellij/sdk/docs/welcome.html"
2017-12-19T08:17:42Z,commit,Minor: remove redundant annotations,github.com/JetBrains/intellij-community/pull/731/commits/12f7df86d1670821f2a44bc52fb4a24bfe28c956
2017-12-18T15:22:32Z,commit,"Unmark testData directory as a ""Test Rosource""",github.com/JetBrains/intellij-community/pull/731/commits/630c5ae8e8d3864f77b202aef5f8990b258b75d9
2017-12-19T08:19:55Z,commit,Minor: remove unused method,github.com/JetBrains/intellij-community/pull/731/commits/43e66487edf6da25f204af7f304a9ad51535c9e4
2017-12-27T17:48:24Z,commit,replicate cdr's change to facilitate merge,github.com/JetBrains/intellij-community/pull/731/commits/1b35dfaab83ac3a9c93f709c1c3f246abb25ff16
2017-12-11T10:23:43Z,commit,"GDPR support: Consents; PrivacyPolicy->EULA, initial",github.com/JetBrains/intellij-community/pull/731/commits/15ad260db8ffb6a33272c0e4c5ac10e73ed9cff9
2017-12-12T14:27:09Z,commit,GDPR support: improvements in Consents-related UI,github.com/JetBrains/intellij-community/pull/731/commits/6ffb64d45da7d9b0826d733522e7e94f4062ad11
2017-12-13T17:44:59Z,commit,Let user accept 'User License Agreement' when it's been fully scrolled,github.com/JetBrains/intellij-community/pull/731/commits/c463bf8cbbb47642c3bdee3d1ce4c601765b7e24
2017-12-14T19:31:21Z,commit,Codestyle cleanup,github.com/JetBrains/intellij-community/pull/731/commits/5e732f84272e7a049b1609028a11c4a5999d3ec2
2017-12-14T19:13:52Z,commit,GDPR support: menu action for Data Sharing Options,github.com/JetBrains/intellij-community/pull/731/commits/04354eac8635b2091e3d1cf75033006118d697ab
2017-12-15T08:36:39Z,commit,GDPR support: improvements in Consents-related UI (after-review patch),github.com/JetBrains/intellij-community/pull/731/commits/885bd5fca90fb6cfa978e535ce973daff58d453b
2017-12-18T13:47:36Z,commit,general tests for consent options,github.com/JetBrains/intellij-community/pull/731/commits/ad45d551fd74efc9c5297c9619ce90a9051ed2b5
2017-12-18T18:30:52Z,commit,GDPR support: improvements in Consents-related UI (layouting & font),github.com/JetBrains/intellij-community/pull/731/commits/33d25f3245c42f58662a9273a797d63897983834
2017-12-18T19:58:34Z,commit,GDPR support: improvements in Consents-related UI in 'GTK+' LAF,github.com/JetBrains/intellij-community/pull/731/commits/999b0a9e94cb9851fc385c54f19226095d27f9eb
2017-12-19T15:40:09Z,commit,GDPR support: improvements in Consents-related UX,github.com/JetBrains/intellij-community/pull/731/commits/0c1ba1e12a3b5644f12061fd6f5a9e839af9e2f2
2017-12-20T19:58:43Z,commit,"GDPR support: fix wrong border, show a hint when consents are empty",github.com/JetBrains/intellij-community/pull/731/commits/19432ce4db5811666bb06e1d248c3af119090c6d
2017-12-21T20:08:02Z,commit,"GDPR support: fix borders, get rid of autoscrolling and custom fonts",github.com/JetBrains/intellij-community/pull/731/commits/27daac2982c4e14236b01b380d6fae860683f862
2017-11-14T18:55:07Z,commit,clean up statistics settings (remove radio buttons),github.com/JetBrains/intellij-community/pull/731/commits/24026ab430bfa0f365072d986bc91dcf6c287f33
2017-12-21T14:48:52Z,commit,GDPR support: SentUsageStatistics.isAllowed flag is now part of Conse¡­,github.com/JetBrains/intellij-community/pull/731/commits/98b4849fbfec8bb528e3dc292fe1c78958cb4f0b
2017-12-23T12:25:48Z,commit,ability to disable consents confirmation for tests,github.com/JetBrains/intellij-community/pull/731/commits/2b22c4233473ca0301ac47c4995b1dab12210c0b
2017-12-27T21:26:57Z,commit,"Make 'Data Sharing' dialog wider, enable horizontal scrollbar",github.com/JetBrains/intellij-community/pull/731/commits/52ac4b1f866af7dbb596b46d77166f9eaca4623d
2017-12-22T14:05:01Z,commit,IDEA-184054 follow-up,github.com/JetBrains/intellij-community/pull/731/commits/62c090ac8854f084bc4639cc43f7df7f89159a9e
2017-12-28T13:15:49Z,commit,fail-save conversion to json;,github.com/JetBrains/intellij-community/pull/731/commits/aa055c097e75af7936841e4708040abb8ec4459e
2017-12-28T14:04:42Z,commit,Changed criterion whether cross-compilation is required: target bytec¡­,github.com/JetBrains/intellij-community/pull/731/commits/b33beda0596311df4baa5f564fa3ecefab1cb154
2017-12-20T13:05:55Z,commit,NPE in JpsProjectLoader.loadFromDirectory() when trying to run a Run ¡­,github.com/JetBrains/intellij-community/pull/731/commits/4d1b8da86d3697fdc69bea1bc20c654ca5b93b53
2017-12-28T13:34:26Z,commit,IDEA-CR-28041 use old name to avoid reimport,github.com/JetBrains/intellij-community/pull/731/commits/7fd1cd6cfb78196c7005482ff707fd9cba76d11e
2017-12-28T16:25:15Z,commit,"quick fix for GoLand ""Imports sorting for default project is not appl¡­",github.com/JetBrains/intellij-community/pull/731/commits/4946ab4c36be2510e9d210e4923eeab1d5c1b565
2017-12-28T16:11:27Z,commit,Misprint: Lincence -> Lisense,github.com/JetBrains/intellij-community/pull/731/commits/0489f13c59a9fb02d6ab3b09a394a03f5ca7f78c
2017-12-28T10:51:31Z,commit,Use com.intellij.openapi.util.Pair instead of kotlin.Pair,github.com/JetBrains/intellij-community/pull/731/commits/e88a984d924fac1eb450d59be488111edb06389a
2017-12-28T17:29:11Z,commit,IDEA-CR-28226 kotlinize ¡ª prefer data class instead of Pair,github.com/JetBrains/intellij-community/pull/731/commits/9010e8c6daed6d55123237199380bac38a56c48b
2017-12-25T21:15:02Z,commit,IDEA-149061 Tool Window docking issue,github.com/JetBrains/intellij-community/pull/731/commits/b675e1b7527cca0b9fadbaa98326b677ffd6e04b
2017-12-29T07:40:04Z,commit,IDEA-184156 be able to handle null values as master doesn't write def¡­,github.com/JetBrains/intellij-community/pull/731/commits/f9cf77f3d09b40231c7a7ebf4b82290dea583fe1
2017-12-28T14:45:46Z,commit,IDEA-176554 Module rename isn't reflected in dependent module imls,github.com/JetBrains/intellij-community/pull/731/commits/ab37adf722a649fa184924f586e81631dd7c5408
2017-12-28T16:00:14Z,commit,IDEA-CR-28221 Simply call stateChanged ¡ª more robust and simple fix f¡­,github.com/JetBrains/intellij-community/pull/731/commits/200382a066f48722d775f3c9e429f57964b7874c
2017-12-29T15:48:27Z,commit,cancel applying fixes (IDEA-184412),github.com/JetBrains/intellij-community/pull/731/commits/1cbf48fd9fbd05ca1b3606776d5a5af1f0e3922f
2017-10-24T09:37:57Z,commit,IDEA-180862 'Wrap using Collections.singletonList' intention doesn't ¡­,github.com/JetBrains/intellij-community/pull/731/commits/79d37f1ca58dcaa52b1553444f4220a9d26ff78e
2018-01-02T10:32:11Z,commit,WrapWithAdapterMethodCallFix: add more diagnostics for EA-114444.,github.com/JetBrains/intellij-community/pull/731/commits/653287fb697be7f90e1ce5dd9f28b1d998d633bc
