791,Rename library to javax-inject
2018-05-22T16:15:28Z,discuss,(cherry picked from commit 7b13127)
2018-05-30T03:25:07Z,discuss,@dmitry-avdeev?
2018-06-14T16:15:44Z,discuss,"Merged to 'master' manually, thank you!"
2018-04-03T16:20:20Z,commit,Rename library to javax-inject,github.com/JetBrains/intellij-community/pull/791/commits/79cfc423ff5e090826c5c19f583e5364ae1ecbc7
