1176,Add LibraryLicense for module-level library Joni
2019-07-19T02:00:19Z,discuss,бн which was added by commit 1093cb7.
2019-07-19T02:00:30Z,discuss,@denofevil
2019-07-23T16:13:35Z,discuss,"Thank you for noticing, fixed via ddb08ac along with jcodings licence"
2019-07-19T00:00:00Z,commit,Add LibraryLicense for module-level library Joni,github.com/JetBrains/intellij-community/pull/1176/commits/e92fe97e03b143832b600f35dfe1e607feff2d90
