82,SSH agent support for git and svn integrations
2013-12-20T11:05:14Z,commit,Copyright: commit document after comment updating,github.com/JetBrains/intellij-community/pull/82/commits/0f2e2a53a442d883f07e66d1c6c02a6900cb67f2
2013-12-12T09:49:31Z,commit,revert: IDEA-117864 optimize reference search scope,github.com/JetBrains/intellij-community/pull/82/commits/dc77905ac2584b34c7d9c6964f8847a5d2cedc3b
2013-12-16T08:52:51Z,commit,simplify type inference for unary expressions,github.com/JetBrains/intellij-community/pull/82/commits/b9531f2428533b89db5d3fa07e62e9c37fd17857
2013-12-16T11:32:27Z,commit,save applicability in GroovyResolveResult,github.com/JetBrains/intellij-community/pull/82/commits/e48edcd68c6f11ac759bab992e07a4d3317cc4aa
2013-12-20T07:12:03Z,commit,Groovy: operator resolving & type inference,github.com/JetBrains/intellij-community/pull/82/commits/7c2363d66c23d29282d09ce0d424d263a0e8b891
2013-12-20T09:52:56Z,commit,Groovy: assignment type inference,github.com/JetBrains/intellij-community/pull/82/commits/2ecd26f735c1dd819149449332b68d8d43c58b4b
2013-12-20T11:17:46Z,commit,don't fall into recursion while resolving annotation name,github.com/JetBrains/intellij-community/pull/82/commits/aa52dce5bce20f5827c17eb19691bb09351717bd
2013-12-20T08:25:50Z,commit,free RootIndex memory on project dispose,github.com/JetBrains/intellij-community/pull/82/commits/b3a6dbb1b62d9ca888bd1f42e73aec1e1062d597
2013-12-20T08:43:29Z,commit,uncomment DirectoryIndexTest assertions,github.com/JetBrains/intellij-community/pull/82/commits/5c514055ddab72a478e738351ddffd8ebb6f75a4
2013-12-20T11:40:51Z,commit,some cases to avoid Document.getText where CharSequence is enough,github.com/JetBrains/intellij-community/pull/82/commits/93977b511b77b9deee5f553c46e4bd962602b665
2013-12-20T11:47:39Z,commit,save RootIndex memory,github.com/JetBrains/intellij-community/pull/82/commits/0f2dda440c63a5047752650e91c003a80a8a870f
2013-12-20T11:51:09Z,commit,NotificationGroup constructor shouldn't require an initialized Applic¡­,github.com/JetBrains/intellij-community/pull/82/commits/4e60af8a433d719e0648d4f05c80ac3142408c5b
2013-12-20T12:10:53Z,commit,use folder icon for groups in Menus and Toolbars configurable,github.com/JetBrains/intellij-community/pull/82/commits/f310feeef8d5f5167f462ac6f536098aa451aeff
2013-12-20T12:14:42Z,commit,IDEA-118552 Generated ANT scripts do not honour cross-compile settings,github.com/JetBrains/intellij-community/pull/82/commits/8d996fa4c79942d0582137fc8edf1a11d775cb0b
2013-12-20T12:15:16Z,commit,cosmetics,github.com/JetBrains/intellij-community/pull/82/commits/767d1aba6a5d58d43f1fa69046619f96abc2cfff
2013-12-20T08:20:42Z,commit,allow autocompletion in dumb mode if provider is dumb aware,github.com/JetBrains/intellij-community/pull/82/commits/90d256cf2803506f62e53c880d1ded476f06bc43
2013-12-20T12:46:02Z,commit,can be final: ensure non final for base of anonymous class (IDEA-118493),github.com/JetBrains/intellij-community/pull/82/commits/fb53d06dfd941ce3e394b742e64f3921b24e93c1
2013-12-20T13:08:50Z,commit,Switched back to char-based triple quotes detection for docstring ele¡­,github.com/JetBrains/intellij-community/pull/82/commits/242a5e3ee03a8d52ab4a0db5537f37bcd108cbc2
2013-12-20T13:21:27Z,commit,check context for nullability,github.com/JetBrains/intellij-community/pull/82/commits/d3be23f7ce49700522d5a354d2689816a807deca
2013-12-20T13:37:52Z,commit,BackgroundTaskQueue.waitForTasksToFinish API,github.com/JetBrains/intellij-community/pull/82/commits/be071832ee0192b05f2bed4dbe0f61750b76e3e5
2013-12-20T13:38:53Z,commit,BackgroundTaskQueue doesn't postpone onSuccess/onCancel until next aw¡­,github.com/JetBrains/intellij-community/pull/82/commits/628ff783002a49f323f6e812ff9b75944d9bee36
2013-12-20T14:04:13Z,commit,lazy sem contributor loading,github.com/JetBrains/intellij-community/pull/82/commits/1feb27b7bcce9d9073a61751e4946245eb23e708
2013-12-20T14:05:20Z,commit,constant-time ModuleManager.getModuleByFilePath,github.com/JetBrains/intellij-community/pull/82/commits/0380bcfb47639502814e063e3b69059d3de583d0
2013-12-20T14:28:14Z,commit,Gradle: GrShiftExpressionImpl usage removed,github.com/JetBrains/intellij-community/pull/82/commits/fd3bc7f4930515de2db02cad12a1cf37b62a898c
2013-12-20T14:50:01Z,commit,VersionComparatorUtil.comparePriorities() simplified,github.com/JetBrains/intellij-community/pull/82/commits/d4f5e53432e70aa3fe533cc84a3e35af569e0a2f
2013-12-20T14:35:42Z,commit,Multiply revision node presentation in HgLog for only one revision fi¡­,github.com/JetBrains/intellij-community/pull/82/commits/4e16c4174b1ed8b3d2a4d33d0a829fb6c5efef40
2013-12-20T14:54:48Z,commit,Parents revision hash template changed to long.,github.com/JetBrains/intellij-community/pull/82/commits/32ab1db7693a73a5cae7e714bf647a99c40db6a9
2013-12-20T15:02:11Z,commit,Show unnamed branch heads without bookmarks and not current revision ¡­,github.com/JetBrains/intellij-community/pull/82/commits/77792a3770b517417469613b976a908db6d9bc87
2013-12-20T15:12:28Z,commit,fixed problem mentioned in CR-IC-3742,github.com/JetBrains/intellij-community/pull/82/commits/7e9eaf963bc09c26bb7358d99254297191ec2b7a
2013-12-18T09:47:43Z,commit,[log] Supply correct commit object to getCommitData in DetailsPanel,github.com/JetBrains/intellij-community/pull/82/commits/9a92cb95ea404280f30fa422de0b3c71bc6d7fac
2013-12-20T13:00:05Z,commit,[log] Flush & Close persistent enumerator on dispose(),github.com/JetBrains/intellij-community/pull/82/commits/2beff60bed9f55f004decfec005e0ef500f735df
2013-12-20T14:06:42Z,commit,[git] Wrap the VcsException not to loose the cause,github.com/JetBrains/intellij-community/pull/82/commits/23583d3a74c095c9551f9800eb9fce408af7968c
2013-12-20T15:22:10Z,commit,[log] Fix identifying root of Node,github.com/JetBrains/intellij-community/pull/82/commits/cb5ee8641f42b078ef9310172f88c0232bd67558
