209,IDEA-128774 ConsoleDependentFilterProvider added
2014-09-02T20:05:10Z,discuss,"
No description provided.
"
2014-09-02T20:06:36Z,discuss,Pushed
2014-09-02T17:48:14Z,commit,IDEA-128774 ConsoleDependentFilterProvider added,github.com/JetBrains/intellij-community/pull/209/commits/0abd400a067a96c89d0d5bc2d4ccb2fce9cd03d1
