51,"IDEA-78919 Resource Bundle Editor: Splitter forgets its position when switching between ""Text"" and ""Resource bundle"" tabs"
2013-03-10T19:10:41Z,discuss,"
No description provided.
"
2013-03-12T15:04:33Z,discuss,Merged manually.
2013-03-10T19:08:06Z,commit,IDEA-78919 Resource Bundle Editor: Splitter forgets its position when¡­,github.com/JetBrains/intellij-community/pull/51/commits/18f81d3c4c57f595572f2d7ff1bef3c7d8879586
