1065,IDEA-207424 Add color constants for uidesigner.
2019-02-16T00:40:13Z,discuss,Add 2 colors for uidesigner:
2019-02-16T00:40:13Z,discuss,Change-Id: I3b5505da33f7b9971eeaed14dcd74759dff0cfb8
2019-02-22T13:43:57Z,discuss,Please see my comments here https://youtrack.jetbrains.com/issue/IDEA-207424
2019-10-21T20:59:18Z,discuss,"Never mind, this was handled differently. Thanks."
2019-02-15T23:12:51Z,commit,IDEA-207424 Add color constants for uidesigner.,github.com/JetBrains/intellij-community/pull/1065/commits/6b2dd88a1a1a482f9479443a723935504fb021de
