918,"In the RegExp form, check for HIT_END"
2018-11-15T07:01:32Z,discuss,"If the regular expression does not match the current sample text, but
a longer input might match, display a hint to the user. This is helpful
in deciding whether the regular expression is completely wrong or the
sample text is just unfinished."
2018-11-19T15:48:08Z,discuss,Merged manually with some changes 227fbd2
2018-11-19T15:48:08Z,discuss,"Nice change, thanks!"
2018-11-19T18:29:13Z,discuss,"Thanks for adjusting the code and the wording, it reads much more natural now. :)"
2018-11-20T16:06:46Z,discuss,No more nested conditional expressions please
2018-11-14T21:55:04Z,commit,"In the RegExp form, check for HIT_END (IDEA-202325)",github.com/JetBrains/intellij-community/pull/918/commits/e9da5f863fdd4624109469aced2511afb78b85f0
