882,Refactoring - constant described several times
2018-10-05T17:22:21Z,discuss,The text variable is used in several places - it replaces the use of a shared constant.
2018-10-07T17:59:58Z,discuss,"Have you submitted a contributor license agreement? If not, please follow the steps described at http://www.jetbrains.com/agreements/cla/ to sign it."
2018-10-07T18:00:56Z,discuss,And could you also please provide a better commit message.
2018-10-07T18:00:56Z,discuss,"I'd also define the constant in the PluginManagerCore, rather than in the JBProtocolHandler, since the first one is more generic. Ah, the latter one is in the util module, so it can't depend on PMC or IdeaApplication. Then let it stay as it is."
2018-10-10T08:25:40Z,discuss,So?
2018-10-17T04:34:57Z,discuss,Merged. Thank you for the contribution!
2018-10-05T17:19:25Z,commit,refactoring,github.com/JetBrains/intellij-community/pull/882/commits/02bb3585fb7e71b5f0f139a2fb150041028c1652
