527,Add option for JavaDoc continuation indent.
2017-03-25T17:48:40Z,discuss,This fixes https://youtrack.jetbrains.com/issue/IDEA-23188
2017-03-25T17:48:40Z,discuss,This change is based on #526 so the first commit can be ignored.
2017-04-20T14:56:38Z,discuss,Just bumping to see if someone could take a look or if there's any problems with this change that I can look into.
2017-05-24T14:34:39Z,discuss,"Hi, Chris!
Thanks for the contribution!
I've checked, made few small corrections and generally everything seems fine to me. Just one thing - please add corresponding tests into JavadocFormatterTest and attach patch here."
2017-05-25T10:29:08Z,discuss,Or verify if I covered all cases in e1405ba
2017-05-25T12:00:00Z,discuss,"Thanks @lepenkinya. That test looks good to me, apologies for not including one initially."
2017-03-25T16:23:19Z,commit,JavaDoc formatting refactor.,github.com/JetBrains/intellij-community/pull/527/commits/c1f62ee48f0fda4b3832b7d47a1b39689049a7af
2017-03-25T17:34:04Z,commit,Add option for JavaDoc continuation indent.,github.com/JetBrains/intellij-community/pull/527/commits/6ee8bb35c2d77c22c90250293939cf8cbad580bf
