874,Fix typo
2018-09-27T11:33:06Z,discuss,"
No description provided.
"
2018-09-27T13:52:35Z,discuss,Merged manually. Thanks!
2018-09-27T11:29:35Z,commit,Fix typo,github.com/JetBrains/intellij-community/pull/874/commits/ee2fdbce94e9057e66d6827abf1cbce9e2d45a38
