120,Possibility to modify move refactoring dialogs from scala plugin
2013-10-30T12:44:03Z,discuss,"
No description provided.
"
2013-10-30T16:37:16Z,discuss,Merged manually and pushed.
2013-10-30T12:25:00Z,commit,Possibility to modify move refactoring dialogs in from scala plugin,github.com/JetBrains/intellij-community/pull/120/commits/7481ceff40c5c5ab7bb13aa93479c71ed2175842
