1124,Set rootProjectName when copying BuildParticipant
2019-04-16T23:34:03Z,discuss,"
No description provided.
"
2019-04-18T06:47:32Z,discuss,Thanks Ying! I've merged the change using the following commit 4b9f412
2019-04-16T23:30:28Z,commit,Set rootProjectName when copying BuildParticipant,github.com/JetBrains/intellij-community/pull/1124/commits/145786aa658c603ed27721faba5eadc3098d6724
