261,publishing my image editor plugin
2015-04-28T12:09:50Z,discuss,Hi All
2015-04-28T12:09:50Z,discuss,I don't know if this is the right place to publish plugins if it is not where do i publish a plugin
2015-04-28T12:09:50Z,discuss,Anyway i have created a plugin that allows a developer to quickly resize image files within their projects (more features to come)
2015-04-28T12:09:50Z,discuss,Hope this will be of use to someone and have a great day!
2015-04-28T12:12:04Z,discuss,"Please publish the plugin to JetBrains Plugin Repository. Check this link for details: https://www.jetbrains.com/idea/help/preparing-plugins-for-publishing.html
Thank you for your contribution!"
2015-04-28T12:14:21Z,discuss,Thanks a lot Have a great day
2015-04-28T12:03:51Z,commit,publishing my image editor plugin,github.com/JetBrains/intellij-community/pull/261/commits/f33b977e0a4187199f71bc8946689cd7a307fc9b
