188,Lazy load the icon in DependencyValidationManagerImpl.
2014-05-23T18:53:09Z,discuss,"
No description provided.
"
2014-05-26T09:13:33Z,discuss,done
2014-05-23T18:52:12Z,commit,Lazy load the icon in DependencyValidationManagerImpl.,github.com/JetBrains/intellij-community/pull/188/commits/fd92dea360dce047ad69aa40f64ae63c8a580504
