135,highlight usages in custom file type works as text highlighting (IDEA-11...
2013-12-03T12:02:25Z,discuss,...7189)
2013-12-09T19:04:28Z,discuss,Merged manually
2013-12-03T06:36:32Z,commit,highlight usages in custom file type works as text highlighting (IDEA¡­,github.com/JetBrains/intellij-community/pull/135/commits/3656d1bd6ec17aa438e888c8aa7a17f88ecaeb1b
