1121,Add zip store properties from Gradle wrapper
2019-04-12T17:55:09Z,discuss,"GradleUtil#getWrapperConfiguration reads properties from the gradle
wrapper into a WrapperConfiguration, but it is missing zip store
properties. Currently, instances of WrapperConfiguration generated by
this function will have the default values regardless of what the values
are in the wrapper properties."
2019-04-13T05:06:18Z,discuss,"Thanks for the contribution, merged using the following commit b454662"
2019-04-12T00:59:09Z,commit,Add zip store properties from Gradle wrapper,github.com/JetBrains/intellij-community/pull/1121/commits/6b70a750e557ac571bc36492839ad8e50fa86645
