413,incorrect NotNull import from com.sun... fixed
2016-06-17T19:00:24Z,discuss,"
No description provided.
"
2016-06-18T23:45:13Z,discuss,Thanks! Applied.
2016-06-09T20:29:56Z,commit,incorrect import fixed,github.com/JetBrains/intellij-community/pull/413/commits/11d69b7ef3afa3a5023f993cb3ef4f5c5c494d54
