615,Add name ID for usage tree component
2017-08-23T22:58:40Z,discuss,"UI tests benefit from having an identifier set on
the view components, since programming UI tests
to locate a UI component is much easier when using
an identifier."
2017-09-01T13:56:33Z,discuss,pushed
2017-08-23T22:40:13Z,commit,Add name ID for usage tree component,github.com/JetBrains/intellij-community/pull/615/commits/10a9e91f4ae3af10527cca664ca09f6f7d8ae054
