695,Fix UI typo in RepositoryAttachDialog
2017-12-21T19:47:31Z,discuss,"
No description provided.
"
2018-01-02T17:22:35Z,discuss,Merged. Thanks!
2017-12-21T19:44:45Z,commit,Fix UI typo in RepositoryAttachDialog,github.com/JetBrains/intellij-community/pull/695/commits/be5e4ac3c19d865870a54990c71e6d528503a72e
