100,IDEA-113488 Find commits in git log from file history context menu
2013-09-11T15:50:15Z,discuss,"This is a feature patch for http://youtrack.jetbrains.com/issue/IDEA-113488
I've already sent a signed contributor license agreement per fax."
2013-09-12T13:33:48Z,discuss,I've applied and pushed the change together with some minor style changes. Thanks!
2013-09-11T15:44:45Z,commit,IDEA-113488 (,github.com/JetBrains/intellij-community/pull/100/commits/631a24cd4a37df9f46b2a223abbe1eaf8716bcef
