1266,fix NPE in MacIntelliJButtonUI::getDarculaButtonSize
2019-11-30T13:20:43Z,discuss,"MacIntelliJButtonUI overwrites getDarculaButtonSize and doesn't handle the the case that the dimension returned by BasicGraphicsUtils.getPreferredButtonSize is null
when ""myButton.getComponentCount() > 0"". More about this undocumented behavior can be found here: https://bugs.openjdk.java.net/browse/JDK-4694008."
2019-11-30T13:20:43Z,discuss,The same fix was added for DarculaButtonUI::getDarculaButtonSize (9372853).
2019-11-30T13:20:43Z,discuss,"I couldn't test this fix because I don't have a mac available.
I found one report about this NPE here: exbin/bined-intellij-plugin#22"
2019-11-30T13:04:25Z,commit,fix NPE in getDarculaButtonSize,github.com/JetBrains/intellij-community/pull/1266/commits/edc4f9d9ecadbcab49149e46381909f4f62578e3
2019-11-30T13:39:26Z,commit,handle null directly in 'getPreferredSize',github.com/JetBrains/intellij-community/pull/1266/commits/778b19d96c0e3570856e5428358c6e215ca157b8
2019-11-30T20:16:49Z,commit,create new empty dimension only when required,github.com/JetBrains/intellij-community/pull/1266/commits/4aedbb6ece79d87eec99bb7820ef842c52057b8a
