59,Update MockApplication.java
2013-03-27T07:55:00Z,discuss,Return not null future from executeOnPooledThread method
2013-03-27T09:56:43Z,discuss,Merged manually.
2013-03-27T07:54:46Z,commit,Update MockApplication.java,github.com/JetBrains/intellij-community/pull/59/commits/3a5ec764eaa93cf29226340daa3d58d047491f6d
