443,Add support Stepik plugin
2016-09-07T22:29:28Z,discuss,"@ktisha
Add support Stepik Union plugin."
2016-09-07T22:29:28Z,discuss,previous version PR
2016-09-07T21:18:45Z,commit,cleaning,github.com/JetBrains/intellij-community/pull/443/commits/0178a4d6befaa326bd05fbec9d098277007e5c64
2016-09-08T08:00:09Z,commit,cleaning 2,github.com/JetBrains/intellij-community/pull/443/commits/d1dd29554e6362dedc4b114c9b7e66a1b85c2288
2016-09-26T16:36:24Z,commit,"fix: tree view, getting available course",github.com/JetBrains/intellij-community/pull/443/commits/3ea28558b7222f4b86621c34309a239db895d42c
2016-10-03T08:52:43Z,commit,Stepik Core,github.com/JetBrains/intellij-community/pull/443/commits/99b6983e2276b23e57edfdc262f3ff5a8a247b91
2016-10-03T11:53:56Z,commit,add src,github.com/JetBrains/intellij-community/pull/443/commits/a4cf3febfc7e307e0d6121cc9f250f822f261f8d
2016-10-06T11:24:37Z,commit,fix: IDs and building,github.com/JetBrains/intellij-community/pull/443/commits/7beaf7fc89f471e823d24af549a89f717c98d33a
2016-10-08T14:51:23Z,commit,fix: section dirs contain forbidden symbols,github.com/JetBrains/intellij-community/pull/443/commits/78e96c86022a7b388946d24d848a79b067fc6283
2016-10-12T11:57:01Z,commit,add hint in to menu,github.com/JetBrains/intellij-community/pull/443/commits/7a7a4cc7fa270f392ea031cd062589ab9b6fb511
2016-10-12T13:28:30Z,commit,Merge pull request,github.com/JetBrains/intellij-community/pull/443/commits/324e640c7da05e030b8758c5e976e65d7201279b
2016-10-13T15:37:17Z,commit,fix IDs,github.com/JetBrains/intellij-community/pull/443/commits/78429107556059224f7cc77b1165a5c704b577ec
2016-10-13T15:45:43Z,commit,Merge pull request,github.com/JetBrains/intellij-community/pull/443/commits/12c262548430f812b32fa6700669c147d6547fd3
