1159,Rid usage of StringBuilder by chaining appends
2019-06-19T08:17:32Z,discuss,"
No description provided.
"
2019-06-20T09:40:08Z,discuss,"DocumentationComponent.java was updated after your patch and your patch cannot be applied there. Other two files are applied. We have temporary problems with public repo synchronization, so it may take a while till commit appears on GitHub."
2019-06-20T09:40:08Z,discuss,"In general I don't think that we need more of such patches. They add some constant overhead to apply them, review, check whether the result is compilable, etc., and the outcome (in terms of code readability or performance) is really low."
2019-06-13T12:42:51Z,commit,Simplify usage of StringBuilder,github.com/JetBrains/intellij-community/pull/1159/commits/d6ab1555de335b2cf54fffe244b41dd74b7890ad
