169,Fix infinite loop in MavenProjectsTree.findRootProject when there is more than one level of aggregate POMs
2014-04-12T14:40:19Z,discuss,Fix with it's unittest.
2014-04-12T14:40:19Z,discuss,"Please could you include this fix in the next IDEA 13.1.x ?
PS: I already the Contributor Agreement some months ago"
2014-04-12T14:21:19Z,commit,Fix infinite loop in MavenProjectsTree.findRootProject when there is бн,github.com/JetBrains/intellij-community/pull/169/commits/1f4117f5d9dc8bf44021a857d866e63fe930977e
