827,Fix group name in GotoTestRelatedProvider
2018-07-13T13:40:15Z,discuss,"
No description provided.
"
2018-07-22T14:34:24Z,discuss,Thank you! Merged fdfb99c
2018-07-13T13:31:20Z,commit,Fix group name in GotoTestRelatedProvider,github.com/JetBrains/intellij-community/pull/827/commits/c2f9100b8c687a61fc8e974329854733ceba4ee2
