365,Prevent static field name clashes in local methods
2016-03-07T19:05:31Z,discuss,This commit fixes the issue where there are name clashes between the local variables and the static state.
2016-03-07T19:05:31Z,discuss,"Currently, this"
2016-03-07T19:05:31Z,discuss,decompiles to this
2016-03-07T19:00:21Z,commit,prevent static field name clashes in local methods,github.com/JetBrains/intellij-community/pull/365/commits/36c5eccb60e0a8bc573d5d91f05e0a48074df9e0
