353,Fix typo in FileDownloader javadoc
2016-02-11T19:49:53Z,discuss,"
No description provided.
"
2016-02-12T14:55:13Z,discuss,Merged. Thanks!
2016-02-11T19:44:16Z,commit,Fix typo in FileDownloader javadoc,github.com/JetBrains/intellij-community/pull/353/commits/10fc14902ff412c8b1913ad90ed9ef96f5c296a3
