1009,Fix IDEA-201331: Respect the annotations processors order
2018-12-11T02:45:17Z,discuss,Fix for https://youtrack.jetbrains.com/issue/IDEA-201331
2018-12-11T12:09:01Z,discuss,"Have you submitted a contributor license agreement? If not, please follow the steps described at http://www.jetbrains.com/agreements/cla/ to sign it."
2018-12-11T12:25:52Z,discuss,Done
2018-12-11T12:53:48Z,discuss,@Im-dex nice!
2018-12-12T10:41:08Z,discuss,"Thank you!
merged manually"
2019-05-16T09:30:24Z,discuss,"IU-191.7479.1 is affected.
Project compiles but doesn't respect gradle definition order of annotation processors.
Request to controller fails with Internal Server Error: Error instantiating bean of type [example.micronaut.Application$ConferenceController]: example.micronaut.Application$ConferenceController: method <init>()V not found"
2019-05-16T09:30:24Z,discuss,https://github.com/sneakythr0ws/MicronautAndLombok
2018-12-11T02:37:55Z,commit,Fix IDEA-201331: Respect the annotations processors order,github.com/JetBrains/intellij-community/pull/1009/commits/570e9e8faa5b8c184387572bc819b917dfe7729e
