712,prevent django_manage.py from tracking changes in node_modules
2018-01-20T16:56:31Z,discuss,The patch prevents manage.py console in PyCharm from being painfully slow when there is a node_modules somewhere in the project tree.
2018-01-20T16:56:31Z,discuss,"Timings from my current project, running migrate command from manage.py console in PyCharm:"
2018-01-20T16:56:31Z,discuss,"Developers are not supposed to manually change the contents of node_modules, so I guess it's fine to exclude it from tracking. I also think it is ok to just hardcode node_modules in the method code, because it is hardcoded in Node and developers cannot rename it."
2018-03-16T17:08:59Z,discuss,"Hello.
Since 2018.1 PyCharm does not track all folders, but filters them by pattern instead: https://youtrack.jetbrains.com/issue/PY-27260
Please check if this issue is still actual in 2018.1"
2018-03-31T13:12:38Z,discuss,"Hi there,"
2018-03-31T13:12:38Z,discuss,"PyCharm 2018.1 is indeed faster, it demonstrates 3-4x speed improvement without the patch. However, it is still slow. Here are measurements from my project with PyCharm 2018.1, running migrate without any active migrations to apply:"
2018-03-31T13:12:38Z,discuss,"Of course, 1+ minute is much better than 5+ minutes, but the delay is still very noticeable and annoying."
2018-01-20T16:35:56Z,commit,prevent django_manage.py from tracking changes in node_modules,github.com/JetBrains/intellij-community/pull/712/commits/c2d481100cfdde4a2b2d618c152c1b871c0b30b1
