207,Shelve changes to project dir.
2014-08-30T21:50:02Z,discuss,#IDEA-113222 fixed
2014-08-31T19:37:32Z,discuss,Merged. Thanks!
2014-08-30T21:19:01Z,commit,Shelve changes to project dir.,github.com/JetBrains/intellij-community/pull/207/commits/1c39a5e69a8ac9799a103cd63f52da23bdb39ee4
