758,fix NPE: PsiFile.getContainingDirectory can return null
2018-03-14T01:15:37Z,discuss,PyUtil.turnInitIntoDir can return null for not null values. In my case this problem caused the reference highlighter to throw an exception in the Diff Viewer.
2018-03-19T16:05:44Z,discuss,"Merged, a4cb153"
2018-03-14T01:09:37Z,commit,fix NPE: PsiFile.getContainingDirectory can return null,github.com/JetBrains/intellij-community/pull/758/commits/e625addf34c32f6b8d7095fa74f479d6f3070fad
