533,Fixed: Get sdk flavor by sdkpath does not look through flavor from extension points
2017-03-28T18:58:17Z,discuss,Fixed issue when getting sdk flavor by sdk path was not looking through sdk flavors from PythonFlavorProvider extension point
2017-03-30T16:34:14Z,discuss,Merged
2017-03-28T18:33:07Z,commit,Added looking for PythonSdkFlavor in extension point when getting pla¡­,github.com/JetBrains/intellij-community/pull/533/commits/5ec6b98b8ce02f72eb15507fcd60381f70b27202
