601,IDEA-154288 - Gradle import: Support jdkName property in IdeaModule
2017-07-09T08:36:23Z,discuss,In
2017-07-09T08:36:23Z,discuss,gradle/gradle@8e02bc2
2017-07-09T08:36:23Z,discuss,"support for this property was added to the Gradle tooling API, now
it can be used for the Gradle import in IDEA in order to correctly
select the JDK that was configured by the user in the gradle project."
2017-07-09T08:36:23Z,discuss,"This is important for projects that have modules with different
language levels."
2017-07-21T16:12:22Z,discuss,Thank you for the contribution! I'll merge it soon.
2017-07-21T20:21:34Z,discuss,Thank you! I'm looking forward to using this in IJ.
2017-07-09T08:33:13Z,commit,IDEA-154288 - Gradle import: Support jdkName property in IdeaModule,github.com/JetBrains/intellij-community/pull/601/commits/7e513178a310cd505e5e11617f502ee9a1673e80
2017-07-21T14:10:33Z,commit,Catch org.gradle.tooling.model.UnsupportedMethodException to avoid br¡­,github.com/JetBrains/intellij-community/pull/601/commits/3f524a828e5258885c4f7d038e291123a7115e3c
