1026,Fix NPE inside `ExceptionRangeCFG::toString()` for `finally` exception range.
2019-01-09T00:01:20Z,discuss,"This PR fix NullPointerException inside ExceptionRangeCFG::toString() when exceptionTypes == null.
For ranges representing try ... finally block null is a valid value."
2019-09-22T15:38:48Z,discuss,@trespasserw Is there any reasons this PR is not merged yet?
2019-01-09T02:49:02Z,commit,Fix NPE inside `ExceptionRangeCFG::toString()` for `finally` exceptio¡­,github.com/JetBrains/intellij-community/pull/1026/commits/aab7fbab8d205f69468bb2c2db971909718e014d
