596,Fix for performance problem IDEA-174594
2017-06-23T09:56:36Z,discuss,First commit is mandatory and two others are just helpful
2017-06-23T12:12:48Z,discuss,Merged manually.
2017-06-20T11:55:38Z,commit,Fix of performance problem in UAST value loop analysis,github.com/JetBrains/intellij-community/pull/596/commits/457e5bac74e2e84a6fe11fb0c7c5b99897bf4bd0
2017-06-23T09:47:53Z,commit,UAST value analysis: more accurate merging of call results,github.com/JetBrains/intellij-community/pull/596/commits/3339f72c9c4648adbbb9c9fe289c66c3a48e39fa
2017-06-23T09:36:20Z,commit,UAST value analysis: perform variable merge more accurately,github.com/JetBrains/intellij-community/pull/596/commits/8e5b755ba12971fc5af6510caaef5110605774a6
