994,Add OpenJ9 support to Windows Launchers.
2018-11-28T01:25:03Z,discuss,This is a proposed fix for https://youtrack.jetbrains.com/issue/IDEA-202981 and makes the Windows launcher comptatible with OpenJ9. The only changes are path checks for the OpenJ9 jvm.dll locations.
2018-11-28T01:25:03Z,discuss,"However, I tested it by manually copying the .exe generated by the sln, so some help to understand how the executables are generated for each version of IntelliJ would be appreciated."
2018-11-28T01:18:39Z,commit,Add Openj9 j9vm paths and checks,github.com/JetBrains/intellij-community/pull/994/commits/6220697d148f6bffac0d4467018d80c0cdcac280
