869,Ignore Multiple External Projects
2018-09-21T21:49:29Z,discuss,Ability to ignore multiple projects at once
2018-09-21T21:49:29Z,discuss,Related to IDEA-198453
2018-10-01T10:14:52Z,discuss,"Thank you!
Merged using the following commit 90f61a9"
2018-09-21T21:44:54Z,commit,Ignore Multiple External Projects,github.com/JetBrains/intellij-community/pull/869/commits/bb9046dd401c6bd6e99981f424440cc48b740a45
