907,Fix race conditions in DumbServiceImpl and in ProgressSuspender.
2018-10-31T23:03:44Z,discuss,"The PR fixes a race condition related to the they way DumbServiceImpl
and ProgressSuspender interoperate."
2018-10-31T23:03:44Z,discuss,"The race condition occurs when a batchChangeStarted() notification
is delivered after the last dumb mode task has made its last check-
cancelled call (if it does any at all), but before the dumb mode
background process has ended."
2018-10-31T23:03:44Z,discuss,"If the notification arrives between these two events, the following
sequence of event happens:"
2018-10-31T23:03:44Z,discuss,"This PR fixes the problem by:
a) preemptively setting myCurrentsuspender to null at the earliest
possible moment.
b) since a) only reduces the probability of the race condition, the
close() method is added to ProgressSuspender which corretly cleans
up the suspender and unregisters it from the list of check-cancelled
hooks, if it happens to remain registered."
2018-11-23T16:33:10Z,discuss,"Merged manually, thanks!"
2018-11-08T17:42:02Z,commit,Fix race conditions in DumbServiceImpl and in ProgressSuspender.,github.com/JetBrains/intellij-community/pull/907/commits/6468b5c2d6d209782d66ddea882a5d1cfd88f19a
