1156,"Cause ""No proxy for"" list to be comma separated after exanded"
2019-06-11T00:33:04Z,discuss,"Currently it is a space sepparated list, which causes issues when using
proxy exceptions."
2019-08-15T09:38:41Z,commit,[gradle] fixed subscription leak,github.com/JetBrains/intellij-community/pull/1156/commits/be82e3a2a77c8cafb978a5648284922be23e41af
2019-08-15T10:10:18Z,commit,EA-210352 - NPE: SimpleDiffModel.clear,github.com/JetBrains/intellij-community/pull/1156/commits/78740e11e9a5583453e5dc443e118a1edbdbf51c
2019-08-15T10:29:27Z,commit,"IDEA-220729 ""Open"" project link doesn't work on Welcome screen",github.com/JetBrains/intellij-community/pull/1156/commits/1074b87afd76910f18a12444e057dde558582b55
2019-08-15T10:40:20Z,commit,PY-37012 Revert accidentally removed import,github.com/JetBrains/intellij-community/pull/1156/commits/9ba53b33b308d273d5dd47c25e371a4c46711c62
2019-08-15T10:56:35Z,commit,[uast] java: fix jump expressions stack overflow,github.com/JetBrains/intellij-community/pull/1156/commits/aec0dc453d858a3bcfc2587ee31b9c497c4eeb57
2019-08-14T11:53:59Z,commit,vcs-ignore: call project file index under read action,github.com/JetBrains/intellij-community/pull/1156/commits/5f336b576e499fa0bd6a575fc6d6026205a3a9a8
2019-08-15T10:56:02Z,commit,git: fix flaky test: assert only error notification,github.com/JetBrains/intellij-community/pull/1156/commits/e178bdaa05aa89ee888844cdbbaa3a94989c0fe3
2019-08-15T10:59:34Z,commit,vcs-ignore: avoid clear unprocessed files without processing it first,github.com/JetBrains/intellij-community/pull/1156/commits/209f9539ccd8f6c4e010409a4d236b78db5a9d4d
2019-08-15T12:03:46Z,commit,Borderless: Cannot easily distinguish two Rider windows with differen¡­,github.com/JetBrains/intellij-community/pull/1156/commits/c7b3da6e99d23b2296a2565574720fd3bfc5c9e8
2019-08-07T11:03:35Z,commit,vcs-ignore: fix flaky test: add waiter to ensure update of ignored fi¡­,github.com/JetBrains/intellij-community/pull/1156/commits/954404e18aaedfc075513ce6c13aff46955cfef9
2019-08-15T12:12:47Z,commit,IDEA-211157 File and Code Templates shows incorrect include header fo¡­,github.com/JetBrains/intellij-community/pull/1156/commits/6befbcda7798087a0eb46ec7abae646c5f19bad6
2019-08-15T12:26:30Z,commit,"FUS-473 Extract dynamic values from event id for intention, live temp¡­",github.com/JetBrains/intellij-community/pull/1156/commits/fb212c56944a8f5d6d592a2e91a8a5d4ece4e481
2019-08-15T12:30:18Z,commit,new Editor Tabs UI: editor tabs should have left/right borders (#IDEA¡­,github.com/JetBrains/intellij-community/pull/1156/commits/43ca630186b70289244f8efda10e3afd2e7f33c7
2019-08-15T12:39:02Z,commit,platform: fix nullability of parameter in handleInitComponentError,github.com/JetBrains/intellij-community/pull/1156/commits/c19711505dbee440f2e5ea9b56dcf43594d40a39
2019-08-15T11:37:20Z,commit,extract painting session object in EditorPainter,github.com/JetBrains/intellij-community/pull/1156/commits/4dcbd54d174161e5cefed0d077c5c76bb05b376d
2019-08-15T12:58:27Z,commit,[devkit] DOM: split ExtensionDomExtender vs ExtensionDomExtender,github.com/JetBrains/intellij-community/pull/1156/commits/2a82d13d52ddcc7f9ac06e620905702a7d47c999
2019-08-15T13:05:11Z,commit,customizable values creation,github.com/JetBrains/intellij-community/pull/1156/commits/5b73c9097f6196bb88543526d98857a2922d0ed1
2019-08-15T13:21:41Z,commit,[devkit] ExtensionsDomExtender: cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/2deb0244c6882a6ef0ddb9629d83dc6d4013c8f4
2019-08-15T13:31:45Z,commit,IDEA-216525 Freezes in CustomHeader - fallback if jna is not available,github.com/JetBrains/intellij-community/pull/1156/commits/2a2cb77fdfd00aed5cb5a861df2f4e0104e6d986
2019-08-15T13:42:11Z,commit,IDEA-216360 Code vision selection background overrides editor margin,github.com/JetBrains/intellij-community/pull/1156/commits/69cc7d9c212387d1928b097d326aa92c0af216a7
2019-07-31T14:58:39Z,commit,[diff] Allow plugins to customize editor title in diff,github.com/JetBrains/intellij-community/pull/1156/commits/d1136bb24719cd7e15550402a4544888cafae6da
2019-07-31T15:00:17Z,commit,[diff-impl] Save given request context in SimpleDiffRequest,github.com/JetBrains/intellij-community/pull/1156/commits/9462d1f3fcae1ea3c50b2c6f218fbff5fea05c93
2019-08-01T17:39:33Z,commit,[diff-impl] Introduce ProxySimpleDiffRequest which is used to keep re¡­,github.com/JetBrains/intellij-community/pull/1156/commits/664f90b67e5fa0b080c8c5fccb18b448db1bf8be
2019-08-15T11:20:35Z,commit,ResolveScopeManager:,github.com/JetBrains/intellij-community/pull/1156/commits/203ba6dabab52435a2bc7c03d397c17d4a2250e9
2019-08-15T12:39:19Z,commit,JavaDoc,github.com/JetBrains/intellij-community/pull/1156/commits/1131960d02ecf52e5c33b6297847f9425736a824
2019-08-15T14:04:19Z,commit,build scripts cleanup: get rid of unnecessary reflection,github.com/JetBrains/intellij-community/pull/1156/commits/a228e54cb2750b7da8601c30447c3b01df418906
2019-08-15T14:36:21Z,commit,xml formatter: avoid expanding xi:include in more places,github.com/JetBrains/intellij-community/pull/1156/commits/830803f659a37db4b67333d6507a66d625a14e8c
2019-08-15T14:39:12Z,commit,preload keymap manager and ui settings,github.com/JetBrains/intellij-community/pull/1156/commits/138e4e49f865a3fd50b20434cb5995f68f3462bb
2019-08-15T14:39:29Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/2f7f7ae1758ad31fe7e61bb5b888f49f1b90419f
2019-08-15T14:46:22Z,commit,junit: check for junit classes available in scope before proceeding w¡­,github.com/JetBrains/intellij-community/pull/1156/commits/54eb66996d25de13051024ebcfe585f246f7260e
2019-08-15T14:53:50Z,commit,scheduleAdjustLineIndent() API method,github.com/JetBrains/intellij-community/pull/1156/commits/da448e5889a56c073c49e535279d37a6c6d105dd
2019-08-15T15:00:25Z,commit,don't spawn a new thread for update checker,github.com/JetBrains/intellij-community/pull/1156/commits/d800eb92e55222bd99e8f3a68af28d2ea9331c04
2019-08-15T11:20:46Z,commit,git-tests: fix toString which was using incorrect file type class to ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/01a894d78c5838129872c12f1b47f02835f65dcf
2019-08-15T13:45:08Z,commit,temporary workaround for JBR-1721 Cant open project on macOS 10.15,github.com/JetBrains/intellij-community/pull/1156/commits/18a5fe8175a8547f9e72ee8138d5067fe0698d9b
2019-08-15T14:15:20Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/77d77d9b9604e75227df8dd1ffd7d8178c4a0579
2019-08-15T14:17:28Z,commit,notnull,github.com/JetBrains/intellij-community/pull/1156/commits/d6a0b66b2000e6a2d2945a60a125911b1b382540
2019-08-15T14:21:00Z,commit,"simplify code (since now there's no node splitting anymore), get rid ¡­",github.com/JetBrains/intellij-community/pull/1156/commits/d480f812ad079b5d1c8849803d95abbffb1cebb1
2019-08-15T14:47:16Z,commit,[devkit] ExtensionDomExtender: cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/5215aaff6d341bf2cfb78c3790b0db7d2851d459
2019-08-15T15:00:06Z,commit,vcs tests: dump debug log if tearDown() fails with an exception.,github.com/JetBrains/intellij-community/pull/1156/commits/aa079d640c2210f6eb115387a100963f523f7e2c
2019-08-15T15:03:10Z,commit,FUS-473 Extract dynamic values from event id for surround with,github.com/JetBrains/intellij-community/pull/1156/commits/6d2a8e208e5c427b3c7b66404d7ce834d1aa3867
