1156,"Cause ""No proxy for"" list to be comma separated after exanded"
2019-06-11T00:33:04Z,discuss,"Currently it is a space sepparated list, which causes issues when using
proxy exceptions."
2019-08-16T19:11:00Z,commit,[platform] migrates KeePass store to SafeFileOutputStream,github.com/JetBrains/intellij-community/pull/1156/commits/cc5b59d2255919d58f5d99677d887f857bde48e7
2019-08-16T19:24:58Z,commit,[platform] migrates serializer store to SafeFileOutputStream,github.com/JetBrains/intellij-community/pull/1156/commits/dd7f51372823a45e8d7fde64f976681997fc251c
2019-08-16T20:31:11Z,commit,[platform] migrates XML store to SafeFileOutputStream,github.com/JetBrains/intellij-community/pull/1156/commits/aa52502ebd7d921cacc70d1509aaee888f83440a
2019-08-16T20:33:26Z,commit,Cleanup (dead code; warnings; formatting),github.com/JetBrains/intellij-community/pull/1156/commits/4bea9ee426d631ab83f0bd04525be775cbbc883c
2019-08-13T16:18:44Z,commit,properly unwrap intention in tests,github.com/JetBrains/intellij-community/pull/1156/commits/9d5195170194989fcdaae74ee2e4ec20a56231b1
2019-08-13T16:21:00Z,commit,do not remove invoked action from HighlightInfo (IDEA-171439),github.com/JetBrains/intellij-community/pull/1156/commits/b41df3f47111e30238ba3b9e5cfda039e6a5271a
2019-08-14T12:25:49Z,commit,allow QuickFix to check whether it's available on the descriptor (IDE¡­,github.com/JetBrains/intellij-community/pull/1156/commits/33791c790c1aa794744d6e542adfe755980f62b1
2019-08-14T13:04:51Z,commit,make MergeElseIfsFix unavailable if there is nothing to merge (IDEA-1¡­,github.com/JetBrains/intellij-community/pull/1156/commits/748219c05b6faa5883254de29577b8e961459902
2019-08-17T16:24:51Z,commit,remove duplicated method for IDEA-CR-50701,github.com/JetBrains/intellij-community/pull/1156/commits/8291835225fb31ceabf8228d6923e24053b589f1
2019-08-17T16:43:57Z,commit,Add words coroutine and coroutines to dictionary,github.com/JetBrains/intellij-community/pull/1156/commits/7f857763db9a9d41fd13a64ed8e48e8ba2cac167
2019-08-15T18:10:38Z,commit,Docker tree structure: clean-up,github.com/JetBrains/intellij-community/pull/1156/commits/604743d922beded419f8e9af00a9fc8952cc0047
2019-08-18T11:48:32Z,commit,[groovy] extract gant support into separate xml,github.com/JetBrains/intellij-community/pull/1156/commits/4adee0fa2db9153a5bdf889f6edce0217bcbe7b9
2019-08-18T12:27:54Z,commit,github: reduce menu icons size in clone dialog,github.com/JetBrains/intellij-community/pull/1156/commits/7870bd122c869a51dc84dc5387913776e432371f
2019-08-18T12:39:40Z,commit,github: reduce menu icons size in clone dialog - fix scaling,github.com/JetBrains/intellij-community/pull/1156/commits/07e1fdd2a61da20adf65b61a8d62fe808af07e9c
2019-08-18T15:02:49Z,commit,vcs: VcsCloneDialogUiSpec cleanup: unused constants and javadoc,github.com/JetBrains/intellij-community/pull/1156/commits/fdc3f50d63fcf6fd7fdff093175b4619ae79c68e
2019-08-18T20:45:47Z,commit,recalculate preferred size if base font is changed (IDEA-CR-51438),github.com/JetBrains/intellij-community/pull/1156/commits/e9dc8c3cfd556a8fbbc16d6c94299c166c1b1ced
2019-08-16T03:24:27Z,commit,IDEA-CR-51469: FUS: change format in statistics event log toolwindow,github.com/JetBrains/intellij-community/pull/1156/commits/b299f0a35f8c900b60624130e54c3c742e26affa
2019-08-16T16:52:35Z,commit,IDEA-219849 - removed remote checks for maven dependency,github.com/JetBrains/intellij-community/pull/1156/commits/8902dda27a0133ef21705548632ff53e0c9c87c7
2019-08-19T06:17:56Z,commit,import popup: show again after modification only (IDEA-15855),github.com/JetBrains/intellij-community/pull/1156/commits/045e96670d3aaad22bfff9970288858ec469bc53
2019-08-19T06:55:04Z,commit,"FileReferenceSet: add thread-safety, avoid duplicating top-level cont¡­",github.com/JetBrains/intellij-community/pull/1156/commits/af270db8dced65627ddaf8dcdb33f9a61d1d0f2a
2019-08-19T04:45:51Z,commit,"UnmodifiableHashMap#withAll added, documentation improvements",github.com/JetBrains/intellij-community/pull/1156/commits/4e537d54f783b52bd7783a4faa4c04ca87f098da
2019-08-19T07:30:48Z,commit,IDEA-217073 Burmese language literals irreversibly break the editor,github.com/JetBrains/intellij-community/pull/1156/commits/f0da58ee97d89f2b432dbaf341f8fef45932ada5
2019-08-19T07:31:53Z,commit,PsiSubstitutor#putAll(Map); PsiSubstitutor#createSubstitutor,github.com/JetBrains/intellij-community/pull/1156/commits/d2be05d379d9b3286e191f92a1d9029dd1757cf6
2019-08-19T07:55:43Z,commit,IDEA-216360 Code vision selection background overrides editor margin,github.com/JetBrains/intellij-community/pull/1156/commits/428fcdf2818f935efa780e6e88d3b765cd2a103e
2019-08-15T12:12:13Z,commit,IDEA-CR-51450 [uast] code generation plugin returns factory,github.com/JetBrains/intellij-community/pull/1156/commits/bccbccdcefc321b2574f15df2c81dadadefd79c2
2019-08-19T07:41:16Z,commit,[stats-collector] Add API to collect factors that does not affect cur¡­,github.com/JetBrains/intellij-community/pull/1156/commits/bd3138138be59065ade9b3b4688d3dbb8f00ed2f
2019-08-19T07:51:40Z,commit,[stats-collector] Implement a provider for location features,github.com/JetBrains/intellij-community/pull/1156/commits/5d233cf23c0c0ea51063edb7b5d104f34b7483c0
2019-08-19T08:03:24Z,commit,JavaDoc for PerformInBackgroundOption.DEAF constant,github.com/JetBrains/intellij-community/pull/1156/commits/117c205373de8750b6871d49a39b1fbf55a7345a
2019-08-19T08:15:44Z,commit,restore maximized toolwindows on reopen,github.com/JetBrains/intellij-community/pull/1156/commits/7c0fe465b475da37f6119ed02a00878b0d637c61
2019-08-19T08:29:55Z,commit,fix typos during EditorSmartKeysConfigurable conversion to UI DSL,github.com/JetBrains/intellij-community/pull/1156/commits/d67f75fd921d2a772ff1152ac5c013fde0bef273
2019-08-19T08:31:35Z,commit,IDEA-209532 - idea freezes on typing (MavenTargetUtil.getFindTarget i¡­,github.com/JetBrains/intellij-community/pull/1156/commits/32f01329d30e7e7cfdb2d12a3146a9f5428353d8
2019-08-19T09:12:23Z,commit,IDEA-220832 Create File intention: don't suggest generated sources ro¡­,github.com/JetBrains/intellij-community/pull/1156/commits/947520872e244b166fab411012a3f43721bfb8cb
2019-08-19T09:19:04Z,commit,[markdown] fix multipleHeaders.md text,github.com/JetBrains/intellij-community/pull/1156/commits/a18d3854b08ac094c1b0210010fc46d70396e8fc
2019-08-19T09:20:11Z,commit,PsiSubstitutorImpl#createSubstitutor restored (deprecated) to preserv¡­,github.com/JetBrains/intellij-community/pull/1156/commits/5410278b27240435655dae1d650f369aa3c06bbd
2019-08-19T09:23:02Z,commit,fixed debugger links rendering after optimizations in SimpleColoredCo¡­,github.com/JetBrains/intellij-community/pull/1156/commits/f514379c838bb77d6a0785918464233c5d158638
2019-08-19T09:43:05Z,commit,IDEA-220747 Create File intention: don't suggest the test roots when ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/a2b3dcb68e12e39b06d214ed37154f84b699937a
2019-08-19T09:43:12Z,commit,OC-18923 mark FileBasedStorage.FileSaveSession with SavingRequestor,github.com/JetBrains/intellij-community/pull/1156/commits/a982e6f7d609df7eaaa591d8979f85a097b06c0b
2019-08-19T09:57:33Z,commit,set correct antialiasing for text,github.com/JetBrains/intellij-community/pull/1156/commits/3ab6aa3ed63970d27fb3327bb64862de30f54456
2019-08-18T12:37:37Z,commit,[groovy] register file type in plugin.xml,github.com/JetBrains/intellij-community/pull/1156/commits/2edf49350d28e888d4f5f3adf3c8ef16ee0d3328
2019-08-19T10:06:20Z,commit,IDEA-217039 provide API for Terminal custom commands handling,github.com/JetBrains/intellij-community/pull/1156/commits/677648b004bc580ae48dbc182f22d8e36b3e712a
2019-08-19T10:22:01Z,commit,[vcs] Remove additional check of history panel in action context in S¡­,github.com/JetBrains/intellij-community/pull/1156/commits/3a0fb8a06e793ab949192399b2a80f9b5a76c376
2019-08-19T10:50:45Z,commit,"Revert ""More SimpleColoredComponent performance optimizations (IDEA-1¡­",github.com/JetBrains/intellij-community/pull/1156/commits/7819dedeb7ff9011a9adbff000a419ae41eebfab
2019-08-19T10:55:40Z,commit,[groovy] don't rely on custom file extensions in GroovyAntCustomCompi¡­,github.com/JetBrains/intellij-community/pull/1156/commits/e7449394f06470c893602758be468efac3261e78
2019-08-19T09:42:04Z,commit,don't catch PCE while writting inspection settings EA-144485,github.com/JetBrains/intellij-community/pull/1156/commits/3c2f497ba62f2b9297c7f763a04fea1ebe4b7095
2019-08-19T09:48:42Z,commit,"cleanup: logging, parametrization",github.com/JetBrains/intellij-community/pull/1156/commits/a24e8f3a7c03a9da3c957ca973b7cd45e00eafac
2019-08-19T11:00:19Z,commit,IDEA-CR-51491 IJI-186 javadoc fix,github.com/JetBrains/intellij-community/pull/1156/commits/b1345dc06b14b3203836be10be09e91dc578f98d
2019-08-19T11:28:35Z,commit,IDEA-131597 IDEA-CR-51421 kotlin immutable list usage,github.com/JetBrains/intellij-community/pull/1156/commits/b800c47465d8ae6476726e2524a901dc0e0cbc90
2019-08-19T11:29:24Z,commit,IDEA-CR-51491 IJI-186 specify artifacts output directories,github.com/JetBrains/intellij-community/pull/1156/commits/23693605f3f3d834a241fad4b2b3e541973b3907
2019-08-19T11:51:33Z,commit,[groovy] register script type extensions via fileType in xml-s,github.com/JetBrains/intellij-community/pull/1156/commits/b902991d3a3d6e888df2c8f01e7bbfa48e491b22
2019-08-19T11:56:39Z,commit,cleanup: use utility method to create TreePath instance without creat¡­,github.com/JetBrains/intellij-community/pull/1156/commits/32a4c3fade5cb0a0e4fb11631d89e927790abdd5
2019-08-16T20:06:21Z,commit,ui: better gaps in Recent Changes Popup,github.com/JetBrains/intellij-community/pull/1156/commits/973b0ce7b4b21add1729876cbe1443021d67c0bd
2019-08-16T20:39:32Z,commit,git: cleanup imports accidentally added in 1621cff8,github.com/JetBrains/intellij-community/pull/1156/commits/2e27246908c6cc654ce87fc5b77a6e0a22fbd502
2019-08-19T10:50:35Z,commit,git: indicate reverting process separately,github.com/JetBrains/intellij-community/pull/1156/commits/f9a14f6d1789f55ad62bb507dedc20e7a588ed00
2019-08-19T12:55:25Z,commit,check NoAccessDuringPsiEvents earlier in index access,github.com/JetBrains/intellij-community/pull/1156/commits/cd7b93455d9f0e58012db8dee1614ae087fab30e
2019-08-19T12:57:25Z,commit,do not throw PCE to offer restarting,github.com/JetBrains/intellij-community/pull/1156/commits/2c3251c696603aa2ef7b4b9445ac1f81cc480827
2019-08-19T12:57:57Z,commit,"don't implement VirtualFileWithId in DummyFileSystem, cleanup",github.com/JetBrains/intellij-community/pull/1156/commits/14fd0d74c9b0cc74eb93f70906dae6f06eb760f3
2019-08-19T13:02:17Z,commit,IDEA-217039 mark terminal custom command handling as experimental fea¡­,github.com/JetBrains/intellij-community/pull/1156/commits/b078a7b22f9456859095204753eec3060cbfa2ff
2019-08-18T16:03:43Z,commit,Make themes EP dynamic,github.com/JetBrains/intellij-community/pull/1156/commits/062410479ae2f275716da49640c30fac85547ad9
2019-08-18T16:04:48Z,commit,DateTime format management API (initial),github.com/JetBrains/intellij-community/pull/1156/commits/0faa5bc77c681a2ebeba20c3caa7522e12f5af77
2019-08-19T13:59:31Z,commit,IDEA-220692 icons are not changed when switch to High Contrast theme,github.com/JetBrains/intellij-community/pull/1156/commits/12897e46f61c2c0a41ca3ac36ea81e3974f16d18
2019-08-19T14:24:50Z,commit,IDEA-CR-51067 extract java IDE keymaps from default provider,github.com/JetBrains/intellij-community/pull/1156/commits/d93c00c92634ffe903d6cacd67463abf6ccdee89
2019-08-02T12:52:20Z,commit,RUBY-24752 don't restrict i18n key names,github.com/JetBrains/intellij-community/pull/1156/commits/d1961593551755edd8130ffe5be7077963cf0457
2019-08-02T13:49:39Z,commit,RUBY-24752 allow finding translations when the key has a `.` character,github.com/JetBrains/intellij-community/pull/1156/commits/8ab9db86d87949123ed6a488e679ca3407256e98
2019-08-19T14:37:55Z,commit,Cleanup (warnings; typos; formatting),github.com/JetBrains/intellij-community/pull/1156/commits/5c8a56e23a8c9ee4f28839aab9bdedc3e487f092
2019-08-19T10:14:23Z,commit,degenerify DomInvocationHandler to reduce verbosity in its clients,github.com/JetBrains/intellij-community/pull/1156/commits/f65c5eb35feb33e3658e2e0f64d4181be0042328
2019-08-19T10:17:59Z,commit,greenify around DomSemContributor,github.com/JetBrains/intellij-community/pull/1156/commits/099259113c9f9f2851140154cdcab3ce53aa0a09
2019-08-19T11:56:10Z,commit,make javadoc more understandable and usable for class consumers,github.com/JetBrains/intellij-community/pull/1156/commits/54e157c2281e7d54064c136b4ca25c2c2195678b
2019-08-19T13:17:53Z,commit,make SameThreadExecutor available via ConcurrencyUtil factory only to¡­,github.com/JetBrains/intellij-community/pull/1156/commits/52c33be2d7dee26c60ca0c00786873743b5b0c15
2019-08-19T13:45:51Z,commit,simplify code with the help of SameThreadExecutor,github.com/JetBrains/intellij-community/pull/1156/commits/84a8325cb2dffb8354f3c2a44ce510d2052501dc
2019-08-19T14:20:47Z,commit,don't save documents inside FileContentUtilCore#reparseFiles,github.com/JetBrains/intellij-community/pull/1156/commits/23025678bd74e1e8ef2a2f280d37672c14654df1
2019-08-19T14:55:35Z,commit,Cleanup (formatting),github.com/JetBrains/intellij-community/pull/1156/commits/89abef0f02078f3ff64a044d17ada60abd565b99
2019-08-19T15:18:05Z,commit,Fix for 11 JDK,github.com/JetBrains/intellij-community/pull/1156/commits/7a1bb1b4e581f62eba333b162e356c2126368da4
2019-08-19T15:22:00Z,commit,IDEA-220955 Create File popup does not sort target directories for Sp¡­,github.com/JetBrains/intellij-community/pull/1156/commits/1daf9e7c4bc2123d9e820c0c1ca94783be1899d2
2019-08-19T15:29:34Z,commit,create all kinds of dom tag elements under one caching key,github.com/JetBrains/intellij-community/pull/1156/commits/975935cc7b9824b0286815ac93f33ad010e74127
2019-08-19T15:39:09Z,commit,avoid accidental loading of temp directory in tests which led to fals¡­,github.com/JetBrains/intellij-community/pull/1156/commits/e9af1f85a9d50359abcfe23341a6bf951aff6421
2019-08-19T15:52:43Z,commit,IDEA-220692 include more scales (1.25 and 1.5) for SVG icons to suppo¡­,github.com/JetBrains/intellij-community/pull/1156/commits/e604aecda0d02b810fd7064fbb33b3401ec84e37
2019-08-19T16:02:19Z,commit,init additional text attrs after all schemes are collected,github.com/JetBrains/intellij-community/pull/1156/commits/27db1e52130f6a1010f6f3dd7654cb8ed511f027
2019-08-19T16:27:57Z,commit,Extract some tests to separate test cases because they need Python 3 ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/57216e242984bed0f62b9ce3b7e00180d453ca86
2019-08-19T17:04:14Z,commit,"sem/dom: remove ""cached"" stuff access",github.com/JetBrains/intellij-community/pull/1156/commits/850396f75e27bb128f015f8a5ea5b9658b02b2fd
2019-08-19T17:31:49Z,commit,More correct loading phase assertion,github.com/JetBrains/intellij-community/pull/1156/commits/d4e260a6bc79a31b0083fd9b7144ef931eb69433
2019-08-19T17:32:26Z,commit,Support dynamic loading and unloading of extension points,github.com/JetBrains/intellij-community/pull/1156/commits/24ae5e6e5402ff86555bc683fc000aef7b9a7ba8
2019-08-19T17:33:00Z,commit,<fileEditorProvider> EP is dynamic,github.com/JetBrains/intellij-community/pull/1156/commits/0dfef068a51749d9180a5d0253907b262bfceca3
2019-08-19T08:38:26Z,commit,don't instantiate usage view when we're preloading show usages action,github.com/JetBrains/intellij-community/pull/1156/commits/1b7476cd6baef03720c2495edf57a3ee7cc517ee
2019-08-19T14:39:49Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/aac4cbb7af223de38bf4b65dab38e7a41994bf58
2019-08-19T19:23:19Z,commit,Cleanup: Delete some dead code in FileEditorManagerImpl,github.com/JetBrains/intellij-community/pull/1156/commits/8e3faa5fbfa4c6d86eacb5fd9a801794531932cc
2019-08-19T12:25:01Z,commit,bulk modify document when extracting expected highlighting,github.com/JetBrains/intellij-community/pull/1156/commits/20d751232942c8f09bd5078758a6edb6ea7d4f29
2019-08-19T12:26:03Z,commit,use getExtensionList instead of wrapping,github.com/JetBrains/intellij-community/pull/1156/commits/dd43b9d5477ee8109c3001bfc632da938b1c86d6
2019-08-19T19:53:28Z,commit,java resolve: cache resolved qualifiers when global cache is prohibit¡­,github.com/JetBrains/intellij-community/pull/1156/commits/fd969c0595194d04ed5fc86abfd86ca55de1e49e
2019-08-20T06:24:23Z,commit,git: execute git config under progress in the Line Separators Warning¡­,github.com/JetBrains/intellij-community/pull/1156/commits/476e7dd15d62433adc5838c7d1ce2061e43d8e23
2019-08-20T06:25:09Z,commit,assert import popup doesn't show again on mouse move,github.com/JetBrains/intellij-community/pull/1156/commits/e2aea4339c4a83f2d714bc1473181b767c4cd592
2019-08-20T07:04:51Z,commit,NonBlockingReadActionImpl: release background thread while waiting fo¡­,github.com/JetBrains/intellij-community/pull/1156/commits/4e790045d3e7cdcc6a0f3036e8a9c2445bf8b44d
2019-08-20T07:08:00Z,commit,use CachedValue for Dom infrastructure instead of Sem,github.com/JetBrains/intellij-community/pull/1156/commits/ebf6b945eed3483f83817ee60a0669671f359408
2019-08-19T22:35:58Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/2e7a6b0e6f30439f9e63dc0eb3ad3a9564f2e550
2019-08-20T08:10:21Z,commit,don't use bundles in file type names aka ids,github.com/JetBrains/intellij-community/pull/1156/commits/53f33227f795bff1a7f10ad0e5a040d4b9f71e15
2019-08-20T08:20:42Z,commit,ToolWindowsPane#createRemoveDecoratorCmd: add an assertion to differe¡­,github.com/JetBrains/intellij-community/pull/1156/commits/147d7408f67407ab8713740406f9bca0d8a04ddc
2019-08-20T08:23:22Z,commit,ToolWindowsPane#createRemoveDecoratorCmd: add one more assertion to d¡­,github.com/JetBrains/intellij-community/pull/1156/commits/b0d63195df67fad5bbbf2369396e448c032e0f5f
2019-08-20T08:36:22Z,commit,platfrom: add better logging,github.com/JetBrains/intellij-community/pull/1156/commits/1d992e08392820cc4ede951f71812b02dcf81dc7
2019-08-20T08:40:53Z,commit,Fix PythonSdkTypeTest.testInvalidRemoteSdkCredentials() test failure,github.com/JetBrains/intellij-community/pull/1156/commits/c9da5fc10ac0d5bf03d4fcd26c9ef10c1d81785b
2019-08-20T09:24:35Z,commit,git tests: don't dump debug log twice if both the test itself and tea¡­,github.com/JetBrains/intellij-community/pull/1156/commits/f529c632d9c43fffe29f92035a9d4202765b9edd
2019-08-20T09:38:53Z,commit,"bootstrap: don't load mx beans for getting class path, just use prope¡­",github.com/JetBrains/intellij-community/pull/1156/commits/b7b8e98b0cf0a096da5dbc5b9a5799043b01d74b
2019-08-20T09:41:39Z,commit,IDEA-219426 - restored repositories in maven/repositories view,github.com/JetBrains/intellij-community/pull/1156/commits/f6e2f0ed368cebe04a214010f3ad12bad2e7ec61
2019-08-20T09:45:03Z,commit,Fix assertion on opening second project (IDEA-220663),github.com/JetBrains/intellij-community/pull/1156/commits/3a4af8363de97df437a434463796d3f89dd1f4c2
2019-08-20T10:16:18Z,commit,"git: fix how PCE is handled in the Update Info, if the log tab creati¡­",github.com/JetBrains/intellij-community/pull/1156/commits/ea8b4605b3505a7c6abbe532e627076b388ccd31
2019-06-11T00:28:28Z,commit,"Cause ""No proxy for"" list to be comma separated after exanded",github.com/JetBrains/intellij-community/pull/1156/commits/366f805a9adf7337a10892591c3451e7e6507b37
2019-06-11T01:22:52Z,commit,Extract COMMA_LINE_PARSER and COMMA_LINE_JOINER,github.com/JetBrains/intellij-community/pull/1156/commits/ba3fdb01fc752c7ffe34c410eae0bd92b1c2f4ee
2019-07-03T18:24:37Z,commit,Use token instead of pattern,github.com/JetBrains/intellij-community/pull/1156/commits/2b4cf7a16abf07cd55e764b75a1fd144d3d92496
2019-08-21T18:05:24Z,commit,Merge branch 'IDEA-215943' of,github.com/JetBrains/intellij-community/pull/1156/commits/b5d4505e97fa08e6a3150d5a68104752bd802da6
