485,fix OutputStream leak in Patcher's Bootstrap
2016-12-07T13:14:57Z,discuss,"
No description provided.
"
2016-12-07T13:47:51Z,discuss,Thanks! Merged.
2016-12-07T13:03:34Z,commit,fix OutputStream leak,github.com/JetBrains/intellij-community/pull/485/commits/ca1d364731b291de4942c997cd24dd07e2e43e32
