69,IDEA-102051 Unable to toggle fullscreen view on linux.
2013-04-12T12:41:53Z,discuss,"Yeah, It's bug of a JDK....  =((( I reproduce this issue with my code... Thus problem not in XlibWrapper...."
2013-04-12T14:59:45Z,discuss,I found some interesting behavior if I will remove from my code ABOVE setting to window and perform alt-tab when e.g. settings dialog is appeared I will sow e.g. terminal and under it settings window.
2013-04-12T14:59:45Z,discuss,"Mouse hover on Settings Window activate component, but when I click on this window I get focus, but window is draw under the fullscreen window =("
2013-04-12T17:16:27Z,discuss,"It's related to modality of the dialogs... It's seems that bug which appeared in our case related to this fix:
http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6532736"
2013-04-12T17:16:27Z,discuss,"If set XToolkit.setModalExcluded(ideframe); all dialogs will be appeared above full screen window, but will not be modal =("
2013-04-12T18:48:21Z,discuss,Interesting. For me XToolkit.setModalExcluded() prevents modality but doesn't fix the problem.
2013-04-12T18:48:21Z,discuss,I do believe the reason is that Java 7 sets _NET_WM_WINDOW_TYPE property of pop-ups and dialogs to _NET_WM_WINDOW_TYPE_NORMAL (Java 6 doesn't set this property) and this tricks Metacity into thinking a new window isn't related to a full-screen one so it should go beneath.
2013-04-15T09:06:40Z,discuss,I check this behavior and nothing change =( I delete this property before going to fullscreen using such code:
2013-04-15T09:06:40Z,discuss,Bug still reproduce =(
2013-04-15T09:29:44Z,discuss,"I had created test application to ""invistigate"" this issue.
https://github.com/vkravets/FullScreenTest"
2013-04-15T10:26:07Z,discuss,I sent bug request to Oracle waiting the answer.....
2013-04-15T11:03:41Z,discuss,"The window type property should be set before a window is mapped by a WM, so deleting it thereafter will have no effect. Unfortunately, AWT code is organized in such a way that no workaround is possible on IDEA side."
2013-04-15T11:03:41Z,discuss,"I've filed an issue to Oracle too, and also to GNOME. Meanwhile I'll tune IDEA's WM detection code so that the feature will be disabled under known Metacity clones."
2013-04-15T11:05:57Z,discuss,Thanks a lot waiting the fix from GNOME or JRE...
2013-04-15T15:18:03Z,discuss,"Bug on Oracle already posted http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=7192269...
And marked as fixed in the 8 version, but resolution marked as Not an issue =((("
2013-04-16T06:37:49Z,discuss,"This functionality already checkined by @trespasserw in 6065190 and e1ae8d4
Closed"
2013-04-16T16:20:56Z,discuss,"@trespasserw, finnaly found the real problem of the issue... You was absolully rigth about _NET_WM_WINDOW_TYPE... AWT sets this always _NET_WM_WINDOW_TYPE_NORMAL atom for dialogs... and for metacity (and its clones) it's have more priority then WM_TRANSIENT_FOR... Due to this dialogs appeared under ""always on top"" window. So this is not only related to fullscreen window... it's more general issue...."
2013-04-16T16:20:56Z,discuss,You can find thread about this in the awt-devs mail listing: http://openjdk.5641.n7.nabble.com/lt-AWT-Dev-gt-Modal-dialogs-for-fullscreen-window-td127959.html
2013-04-16T16:20:56Z,discuss,"And here I described mutter behavior which I noticed in the sources:
http://openjdk.5641.n7.nabble.com/lt-AWT-Dev-gt-Modal-dialogs-for-fullscreen-window-tt127959.html#a128234"
2013-04-16T16:20:56Z,discuss,So waiting the fix in the JRE....
2013-09-27T00:42:00Z,discuss,"just moved to gnome (3.8 on ubuntu).
i see that this is 5 month old, but i still can't go full screen on intellij idea and android studio.
any fixes for that?"
2013-09-27T06:14:39Z,discuss,Have you tried it under Oracle JDK 7u40?
2013-09-27T11:46:45Z,discuss,"i have a problem reproducing it, because i have already move from gnome (i am a developer, and i am in a kind of hurry).
i have jdk 7u40 installed. but when i run javac -version i get 7u21."
2013-09-27T13:17:31Z,discuss,"OK. So, if you're running IDEA build 130.186+ on 7u40+ (you can check this on Help | About dialog), and there is no View | Enter Full Screen menu option, than it's probably a bug and should be reported to the tracker."
2013-04-08T20:34:41Z,commit,Draft of supporting of FullScreen on Linux.,github.com/JetBrains/intellij-community/pull/69/commits/d9ee3a269366a4c62bcd6ef906e1fb92a1c1d200
2013-04-08T21:16:05Z,commit,Use linux related behavior only for Linux.,github.com/JetBrains/intellij-community/pull/69/commits/88da5702c6e7d323119f5a998304a752ffb88e3c
2013-04-08T21:21:02Z,commit,Optimize if check,github.com/JetBrains/intellij-community/pull/69/commits/f5475497dee91a639a9f1a7e4d39818074a9c27d
2013-04-09T15:21:08Z,commit,Show message if WM is not support FS. Small tweaks.,github.com/JetBrains/intellij-community/pull/69/commits/b557abc597fb92bbb698f240ff44fbe66c8108f2
2013-04-09T16:34:42Z,commit,Show unsupported WM message only for Linux system,github.com/JetBrains/intellij-community/pull/69/commits/5c88eb98562ae3e9584e80dc11d5be7946e8fbd7
2013-04-09T21:33:13Z,commit,Change behavior to go to fullscreen mode.,github.com/JetBrains/intellij-community/pull/69/commits/d1b65c9ea02fb87f935b4433767d49406b60bce4
2013-04-10T16:24:20Z,commit,Small refactoring.,github.com/JetBrains/intellij-community/pull/69/commits/b593003fae6b5dee0f8bebe1e99d7cf49f767084
2013-04-11T12:15:22Z,commit,Fix assert check,github.com/JetBrains/intellij-community/pull/69/commits/76dcfd48260be9b111b4fdc4e489b6a11c08cf15
2013-04-11T14:52:36Z,commit,Fullscreen: Support of 1.6 java,github.com/JetBrains/intellij-community/pull/69/commits/12289a6e73c2a1064a927311d33cb102762d68a4
