1252,Javadoc fix
2019-11-16T20:50:39Z,discuss,"
No description provided.
"
2019-11-17T15:53:25Z,discuss,Merged manually. Thanks.
2019-11-16T20:45:27Z,commit,Javadoc fix,github.com/JetBrains/intellij-community/pull/1252/commits/8c2b5b09cf85ddb65dd2da988d16e2935d8b14e0
