642,PY-26413: More intuitive caret positioning on prev
2017-10-09T21:25:18Z,discuss,"
No description provided.
"
2017-10-17T11:11:36Z,discuss,@fitermay Thank you! Pull request merged.
2017-10-09T21:20:50Z,commit,PY-26413: More intuitive caret positioning on prev,github.com/JetBrains/intellij-community/pull/642/commits/b1466ac00ea7b9ec0032931e9590cdbc4ed315a6
