1232,"Through TypeMigrationProcessor, allow to disable TypeMigrationLabeler warning"
2019-11-05T15:53:32Z,discuss,"I am building a massive refactoring process making use of TypeMigrationProcessor.
Each time the number of roots exceeds 10, IntelliJ displays a warning that I must acknowledge."
2019-11-05T15:53:32Z,discuss,This PR allows to disable this warning.
2019-12-10T16:50:16Z,discuss,Hello?
2019-11-05T15:51:05Z,commit,"Through TypeMigrationProcessor, allow to disable TypeMigrationLabeler¡­",github.com/JetBrains/intellij-community/pull/1232/commits/18d232309ecee7c8c6de36b68af57b37bc873663
