509,Update from Original
2017-02-03T04:29:35Z,discuss,Update from Original
2016-08-23T16:59:56Z,commit,Merge pull request #1 from JetBrains/master,github.com/JetBrains/intellij-community/pull/509/commits/56d3caf1f0bafb0605e5cdba9a0589e5ec4cb089
2017-01-05T11:10:42Z,commit,Merge pull request,github.com/JetBrains/intellij-community/pull/509/commits/1ecbf06b817ce7173af7224f866792f38e10a264
2017-01-19T05:23:57Z,commit,Merge pull request,github.com/JetBrains/intellij-community/pull/509/commits/7627751b0318bcfb5f749954c8834dc16ed38967
2017-02-03T04:32:09Z,commit,Merge pull request,github.com/JetBrains/intellij-community/pull/509/commits/dae750a0aed82c6d035340741778cd2b70238ae8
