id,title,status,importance
330000,add search component scm,RESOLVED FIXED,P3 normal
330001,create search component,RESOLVED FIXED,P3 normal
330002,wrong linearization tsuper call diamond inheritance,ASSIGNED,P3 normal
330003,provide option preserve attribute order xsd ecore wizard,CLOSED DUPLICATE of bug 236609,P3 enhancement
330004,foreground color override cell color,CLOSED FIXED,P3 normal with 1 vote
330005,equinox doc bundle,RESOLVED WONTFIX,P3 normal
330006,false positive feature compare,VERIFIED FIXED,P3 normal
330007,add blog,RESOLVED FIXED,P3 enhancement
330008,use constraint violation,CLOSED WONTFIX,P3 normal
330009,sort errors gcc problems tab,RESOLVED WORKSFORME,P3 minor
330010,bug parse xml tag,RESOLVED FIXED,P3 normal
330011,split,RESOLVED FIXED,P3 normal
330012,false jsf validator ids mark register,RESOLVED FIXED,P3 normal
330013,,RESOLVED NOT_ECLIPSE,P3 normal
330014,,RESOLVED NOT_ECLIPSE,P3 normal
330015,provide support construct task list subtask hierarchy inward task relations,NEW,P3 enhancement
330016,selectchange method compareeditorinputnavigator behave properly,CLOSED INVALID,P3 normal
330017,relative import location resolve resource uri relative,RESOLVED FIXED,P3 normal
330018,tab obscure,RESOLVED INVALID,P3 normal
330019,egit ignore file synch view,CLOSED DUPLICATE of bug 322454,P3 normal with 2 votes
330020,way synchronize view,NEW,P3 normal with 1 vote
330021,document dircachecheckout api,RESOLVED FIXED,P3 enhancement
330022,remove workdircheckout,RESOLVED FIXED,P3 enhancement
330023,step command enable even command execute,ASSIGNED,P3 minor
330024,quick outline show id instead key relate task,RESOLVED FIXED,P3 minor
330025,ignore derive folder,RESOLVED FIXED,P3 normal
330026,fix eclipse eclipse help server xss,RESOLVED FIXED,P3 major
330027,bug use pagination big resultlists conjunction order column low variation,ASSIGNED,P2 minor with 1 vote
330028,accessibility issue read items swt combo,NEW,P3 normal
330029,build,CLOSED FIXED,P3 enhancement
330030,nullpointer exception,RESOLVED FIXED,P3 major
330031,create,NEW,P3 enhancement
330032,warn display use type name without,NEW,P3 enhancement
330033,gmf project wizard dialog show gmf word unnecessary,RESOLVED FIXED,P3 trivial
330034,create single forum,RESOLVED FIXED,P3 normal
330035,notational metamodel extension,CLOSED FIXED,P3 enhancement
330036,java file still say cpl headers,NEW,P2 normal
330037,import modules dd time module id component,RESOLVED FIXED,P3 normal
330038,indexoutofboundsexception gallery sample,CLOSED FIXED,P3 normal
330039,require java java,RESOLVED FIXED,P3 normal
330040,need help remove tag source copy,RESOLVED FIXED,P3 normal
330041,ajcodeelement initialize source location upon construction,RESOLVED FIXED,P3 normal
330042,grid code,RESOLVED WONTFIX,P3 normal
330043,file delete fail mvs,CLOSED WORKSFORME,P3 normal
330044,eclipse cdt crash use gnuplot pipe,RESOLVED INVALID,P3 normal
330045,need bundle ecore opposite end find,CLOSED DUPLICATE of bug 251621,P3 normal
330046,chartexception view pie chart,RESOLVED WORKSFORME,P3 normal
330047,throw illegalargumentexceptions,VERIFIED FIXED,P3 normal
330048,allow commit push remote one interaction,VERIFIED FIXED,P3 enhancement with 13 votes
330049,file search dialog empty open main,RESOLVED WORKSFORME,P3 normal
