id,title,status,importance
50000,postselectionwithast cause illegalargumentexception,RESOLVED FIXED,P3 normal
50001,allow user ignore errors specific line class package,RESOLVED WONTFIX,P3 enhancement
50002,update state bundle,RESOLVED FIXED,P3 normal
50003,improve go annotation dropdown,RESOLVED WONTFIX,P3 enhancement
50004,move branch tag work cvs,RESOLVED FIXED,P3 normal
50005,code formatter support xdoclet style tag,RESOLVED DUPLICATE of bug 45465,P3 normal
50006,run without workspace,RESOLVED FIXED,P2 normal
50007,jvm core dump profile standalone,CLOSED FIXED,P3 normal
50008,hide application work,RESOLVED WONTFIX,P3 minor with 1 vote
50009,instal security manager prevent rcp app start,RESOLVED FIXED,P3 normal
50010,palettecustomizerdialog println statement,RESOLVED FIXED,P3 normal
50011,log view refresh resources import log,CLOSED FIXED,P3 normal
50012,add new warn type import demand,RESOLVED WONTFIX,P3 enhancement
50013,tooltips truncate edge,RESOLVED INVALID,P3 normal
50014,allow popup menu iadaptable sensitive,RESOLVED FIXED,P3 enhancement
50015,showsplash error click sequence diagram,RESOLVED WORKSFORME,P3 normal
50016,anteditorpreferencepage present annotation prefs,VERIFIED FIXED,P3 normal
50017,highlight text annotation preference work ant editor,RESOLVED DUPLICATE of bug 50016,P3 normal
50018,update class path prompt save,RESOLVED FIXED,P3 minor
50019,overview ruler anteditor,VERIFIED FIXED,P3 normal
50020,keyreleased work,NEW,P5 normal with 4 votes
50021,quick fix annotations,RESOLVED WORKSFORME,P3 normal
50022,npe delegatingdragadapter,RESOLVED FIXED,P2 normal
50023,problem switch log log interactions view,CLOSED FIXED,P3 normal
50024,cursor position malfunction tab space,RESOLVED WORKSFORME,P3 normal
50025,uppercase zip jar classpath entries ignore,VERIFIED FIXED,P2 normal
50026,tooltips table columns,RESOLVED DUPLICATE of bug 4572,P3 enhancement
50027,error import ihs error log,CLOSED INVALID,P3 normal
50028,eclipse use system fonts windows inconsistent windows,NEW,P3 normal
50029,flash,RESOLVED DUPLICATE of bug 49979,P3 normal
50030,group like override method,NEW,P3 enhancement
50031,hyades apache log example display infinite number,CLOSED INVALID,P3 normal
50032,replace latest head,RESOLVED WORKSFORME,P3 normal
50033,context change notifications send,CLOSED FIXED,P2 critical
50034,swing mouse events receive rcp plugin,RESOLVED FIXED,P3 normal
