id,title,status,importance
390000,use java read thermo raw file,CLOSED NOT_ECLIPSE,P3 normal
390001,relabel path map rule table column header,RESOLVED WONTFIX,P3 normal
390002,add javassist orbit,CLOSED FIXED,P3 normal
390003,allow modifiable iruntimecontexts,RESOLVED FIXED,P3 enhancement
390004,interaction model class without jaxb annotations,CLOSED FIXED,P2 normal
390005,shortcut override sign slovenian keyboard scheme,RESOLVED FIXED,P3 minor
390006,pror toolbar show twice time eclipse juno kepler,RESOLVED WONTFIX,P3 minor
390007,reveal selection platforms,RESOLVED WORKSFORME,P3 normal
390008,default orion file system location search,RESOLVED FIXED,P3 normal
390009,,CLOSED FIXED,P3 normal
390010,problem domhandler collection property,CLOSED INVALID,P3 normal
390011,osgi service remove,CLOSED INVALID,P3 normal
390012,consider support alternate providers,CLOSED MOVED,P3 enhancement
390013,inconsistent handle,ASSIGNED,P3 normal
390014,property recognize javac target,CLOSED WONTFIX,P3 normal
390015,make build work cbi,CLOSED FIXED,P3 normal
390016,area partstack resize correct,RESOLVED WORKSFORME,P3 normal with 1 vote
390017,build virgo kernel fail,CLOSED FIXED,P3 normal
390018,kernel js test,CLOSED INVALID,P3 major
390019,termination event send output go terminal,RESOLVED WORKSFORME,P3 normal
390020,create file,RESOLVED FIXED,P3 normal
390021,newly add fail glassfish,NEW,P2 normal
390022,copy paste break juno,RESOLVED FIXED,P3 critical
390023,two test fail trunk,RESOLVED FIXED,P3 normal
390024,eclipse,NEW,P3 major
390025,glassfish need server platform choice,CLOSED FIXED,P3 normal
390026,ddl generation map set pk incorrectly,NEW,P2 normal
390027,save change site,RESOLVED WONTFIX,P3 normal
390028,nav action apply root selection,RESOLVED DUPLICATE of bug 408372,P3 normal
390029,site url map decode uri components,RESOLVED WONTFIX,P3 normal
390030,filter,CLOSED FIXED,P3 enhancement
390031,keyboard input possible use,CLOSED NOT_ECLIPSE,P3 normal
390032,comparator string comparisons,CLOSED FIXED,P3 enhancement
390033,migrate git,RESOLVED FIXED,P3 normal
390034,,RESOLVED FIXED,P3 normal
390035,possiblevaluesservice inconsistent case sensitivity,CLOSED FIXED,P3 normal
390036,untranslated hungarian property string,RESOLVED FIXED,P3 normal
390037,duplicate items system view,RESOLVED FIXED,P3 normal
390038,add repository option commit message,NEW,P3 normal
390039,backport duplicate items system view,RESOLVED FIXED,P3 normal
390040,need key bind toggle editor wrap,RESOLVED FIXED,P3 normal
390041,use cairo instead,RESOLVED FIXED,P3 normal
390042,birt script editor load,RESOLVED FIXED,P3 normal
390043,feedback feature,RESOLVED WONTFIX,P3 normal
390044,replace,RESOLVED FIXED,P3 normal
390045,local checkbox unchecked import zip file also unzip,RESOLVED WONTFIX,P3 normal
390046,random file generate sometimes appear,RESOLVED FIXED,P3 normal
390047,click browse hyperlink persistence property,VERIFIED FIXED,P3 normal
390048,selection lose directly type name field,NEW,P3 normal
390049,fail rtc server one project area,CLOSED FIXED,P3 normal
390050,quick access performance could improve,RESOLVED FIXED,P3 normal
390051,wrong brief description task,RESOLVED FIXED,P3 normal
390052,viewer update listener time,VERIFIED FIXED,P3 normal
390053,view support column mode,RESOLVED FIXED,P3 normal
390054,argumenttests failure mac,RESOLVED FIXED,P3 normal
390055,rexec connection long,RESOLVED FIXED,P3 normal
390056,jarsigning libcairo test failures integration build,VERIFIED FIXED,P3 normal
390057,decapsulation warn final base class report,VERIFIED FIXED,P3 normal
390058,add bouncycastle,CLOSED FIXED,P3 normal with 2 votes
390059,much time spend,RESOLVED FIXED,P3 normal
390060,screen readers say wizard next back button,NEW,P3 normal
390061,nullpointerexception featurefilter diffing match,CLOSED DUPLICATE of bug 389810,P3 normal
390062,update improve branch api branch test,CLOSED FIXED,P3 enhancement
390063,fatal error calculate total data,RESOLVED FIXED,P3 blocker
390064,resource leak warn miss extend parameterized class,VERIFIED FIXED,P3 normal with 1 vote
390065,provide conversion path model refactorings,RESOLVED FIXED,P3 normal
390066,error message begin,RESOLVED WORKSFORME,P3 normal
390067,create glitches debug output break debug,NEW,P3 normal with 1 vote
390068,value register view cell highlight,NEW,P3 normal
390069,concurrent access model rollback conflict resolution exceptions,CLOSED FIXED,P3 normal
390070,improve description update,VERIFIED FIXED,P2 normal
390071,eclipse os x could launch mac os x,RESOLVED NOT_ECLIPSE,P3 critical
390072,,RESOLVED NOT_ECLIPSE,P3 normal
390073,add higher tp,VERIFIED FIXED,P3 enhancement
390074,cache xtextresourcesetprovider,CLOSED FIXED,P3 normal
390075,discourage access warn implicit closure parameter type display editor,CLOSED FIXED,P3 normal
390076,error log ca,CLOSED WORKSFORME,P3 minor
390077,set font cdatetime daybuttons,RESOLVED FIXED,P3 normal
390078,memory browser data wrong debug launch multi debug sessions,NEW,P3 normal
390079,sequence eclipselink fail value return sequence allocationsize,NEW,P2 normal with 1 vote
390080,web application bundle extension default unless,CLOSED FIXED,P3 normal
390081,multiple line support list items,RESOLVED FIXED,P3 enhancement
390082,eclipse operate system,RESOLVED INVALID,P3 enhancement
390083,nullpointerexception,CLOSED FIXED,P2 major
390084,debugger spawn thread continuously,RESOLVED WORKSFORME,P3 normal
390085,force fetch command use save private key,RESOLVED FIXED,P3 normal
390086,cannot update conflict dependency,CLOSED INVALID,P3 blocker
390087,cppbeautifer find defaultcodeformatteroptions,CLOSED DUPLICATE of bug 406300,P3 normal
390088,resolvein contextless map import unit,RESOLVED FIXED,P3 normal
390089,request permission delete remote branch sisu git repositories,RESOLVED FIXED,P3 normal
390090,validation encountred problem,CLOSED DUPLICATE of bug 390104,P3 normal
390091,ivy converter parse correctly versions,CLOSED FIXED,P3 normal
390092,editoutletdialog name field size,RESOLVED FIXED,P3 normal
390093,stackoverflow move element activity diagram,RESOLVED FIXED,P3 critical
390094,cannot defineoperation efeaturemap,NEW,P3 normal
390095,push eclipse git fail,RESOLVED FIXED,P3 normal
390096,process api deltas cancelable,RESOLVED FIXED,P3 critical
390097,implausible string sort use collator,CLOSED FIXED,P3 normal
390098,phpcompletionengine support flexible completions,CLOSED FIXED,P3 normal
390099,numberformatdetailspane give unaligned detail,NEW,P3 normal
390100,scrolledcomposite ubuntu show red line,RESOLVED NOT_ECLIPSE,P3 normal
390101,rse launch shell command work,REOPENED,P3 normal
390102,preference include sender notifications,RESOLVED FIXED,P3 normal
390103,render search result incrementally crawler,RESOLVED FIXED,P3 normal
390104,validation encountred problem,CLOSED FIXED,P3 normal
390105,publish start servers synchronization problem,VERIFIED FIXED,P3 normal
390106,use loop ereference return eobjects,CLOSED FIXED,P3 critical
390107,enable custom profile publish,CLOSED FIXED,P3 normal
390108,servlet api programmatic login appear work,RESOLVED FIXED,P3 normal
390109,embed empty line indent,NEW,P3 normal
390110,automate test framework bug runtests,RESOLVED FIXED,P3 normal
390111,make sure tycho product materialization interfere sdk,RESOLVED FIXED,P3 normal
390112,editor work mac voice dictation,RESOLVED FIXED,P3 normal
390113,add assert x null postcondition static analyis,NEW,P3 enhancement
390114,oslc automation client sample,CLOSED FIXED,P3 enhancement
390115,enable module select,NEW,P3 normal
390116,enhancement request move orm specific class core jpa bundle,CLOSED WONTFIX,P3 enhancement
390117,run individual test need call staticsetup check usethischangerequest,CLOSED WONTFIX,P3 normal
390118,resize splitter window cause jumpy resize,CLOSED DUPLICATE of bug 417097,P3 normal
390119,brand plugins buildid update,RESOLVED FIXED,P3 normal
390120,integrate birt report give ocl errors,RESOLVED INVALID,P3 blocker
390121,file review file extension generate error workspace include plugin,NEW,P3 normal
390122,mavenarchiver site block,CLOSED NOT_ECLIPSE,P3 normal
390123,unable set credentials create bug different bugzilla,RESOLVED DUPLICATE of bug 385421,P3 normal
390124,jpa content tree right items binary type,RESOLVED FIXED,P3 major
390125,show content jpa view binary type,NEW,P3 enhancement
390126,use instead,RESOLVED FIXED,P3 normal
390127,delete enable servers,ASSIGNED,P3 normal
390128,config admin clean,RESOLVED INVALID,P3 normal
390129,mark reference ua deprecate fold,NEW,P3 normal
390130,gui client paho,ASSIGNED,P3 enhancement
390131,comment uncommenting differently,RESOLVED WORKSFORME,P3 major
390132,project process one fragment resources,CLOSED FIXED,P3 normal
390133,support code style formatter preferences,CLOSED FIXED,P3 enhancement
390134,support outline formatter preferences,NEW,P3 normal
390135,docbook namespace unknown,CLOSED FIXED,P3 major
390136,unrecognized svg inlinemediaobject,CLOSED FIXED,P3 major
390137,improve docbook xref render,CLOSED FIXED,P3 normal
390138,improve docbook remark render,CLOSED FIXED,P3 normal
390139,ensure bundle,VERIFIED FIXED,P3 enhancement
390140,juno info center miss cdt help book,VERIFIED FIXED,P3 normal
390141,unwanted format apply local quickfix,NEW,P3 normal
390142,process output visible,RESOLVED FIXED,P3 normal
390143,decorator become tiny association connection,ASSIGNED,P3 normal
390144,npes due popup menu contributions still active dispose editor,NEW,P3 normal
390145,xmi store xmi textual representation,CLOSED WONTFIX,P3 enhancement
390146,better support outer inner team adapt different bundle,VERIFIED FIXED,P3 enhancement
390147,support,RESOLVED FIXED,P3 enhancement
390148,ui editor theme list twice,CLOSED FIXED,P3 blocker
390149,cce adaptoractivator modify source attachment require plugin,VERIFIED FIXED,P3 normal
390150,example quick start launch configuration,CLOSED FIXED,P3 normal
390151,prevent annotation modelelement eclasses etypes cdo epackage map,CLOSED FIXED,P3 normal
390152,improvements require process eye track data,CLOSED FIXED,P3 normal
390153,eclipse write corrupt settings file,CLOSED DUPLICATE of bug 385195,P3 normal
390154,build,CLOSED DUPLICATE of bug 387428,P3 major
390155,refactor tree selection widgets extensibility,NEW,P3 enhancement
390156,resource find edit conflict update operation,RESOLVED DUPLICATE of bug 383183,P3 major
390157,format format result worse original,NEW,P3 normal with 1 vote
390158,hierarchical layout tag git repositories view,NEW,P3 enhancement with 2 votes
390159,fail operationcancelexception,NEW,P3 normal
390160,debian bundle poor install ubuntu software center,RESOLVED WONTFIX,P3 normal
390161,defer authentication thread safe,RESOLVED FIXED,P3 normal
390162,support xml literals extend properties,CLOSED FIXED,P3 normal
390163,implement,RESOLVED FIXED,P3 normal
390164,fdhfdjhfgj,CLOSED INVALID,P3 critical
390165,ca work use super class,CLOSED FIXED,P3 normal
390166,report designer freeze use store,RESOLVED FIXED,P3 minor
390167,include hibernate examples feature,CLOSED FIXED,P3 normal
390168,nothing merge conflict cause properties,RESOLVED FIXED,P3 normal
390169,provide central registry open cdoviews,CLOSED FIXED,P3 enhancement
390170,avoid work pdf,NEW,P3 major
390171,property change statuses show incorrectly deletion involve,RESOLVED FIXED,P3 normal
390172,add delete nod relationships without change layout elements,RESOLVED FIXED,P3 enhancement
390173,conflict content assist proposal handlers,CLOSED FIXED,P3 normal
390174,miss source update site,NEW,P3 normal
390175,user id password store,CLOSED DUPLICATE of bug 406848,P3 major
390176,provide username password support git credentials storage,RESOLVED FIXED,P3 normal
390177,create exception permgen crash,RESOLVED FIXED,P3 normal
390178,miss python service interfaces proxies,RESOLVED FIXED,P3 normal
390179,code xcore resource regenerate one xcore resources depend modify,RESOLVED WORKSFORME,P3 major
390180,anonymous enumeration members include file could resolve,CLOSED DUPLICATE of bug 377409,P3 normal
390181,wrong toolbar group synchronize view mode,RESOLVED FIXED,P3 normal
390182,apply legacyresolversupport also platformpluginunitresolver,RESOLVED FIXED,P3 normal
390183,remote catalog proxy,CLOSED DUPLICATE of bug 355774,P3 normal with 1 vote
390184,file must match product file,RESOLVED FIXED,P3 normal
390185,deadlock multiple concurrent transactions,CLOSED FIXED,P3 normal
390186,svn url take part svn url fail checkout,ASSIGNED,P3 major
390187,rename refactoring link mode validate new name,CLOSED FIXED,P3 normal
390188,return wrong url windows unc paths,NEW,P3 normal
390189,tableviewerinfo cannot cast controlinfo,ASSIGNED,P3 normal
390190,move ptp website git,RESOLVED FIXED,P3 normal
390191,exclude pack,VERIFIED FIXED,P3 normal
390192,exclude pack,RESOLVED FIXED,P3 normal
390193,exclude pack,RESOLVED FIXED,P3 normal
390194,move sisu website git,RESOLVED FIXED,P3 normal
390195,detect instead,CLOSED FIXED,P3 normal
390196,unimlemented generate methods default visibility,CLOSED DUPLICATE of bug 387940,P3 normal
390197,migrate aether web site git,RESOLVED FIXED,P3 normal
390198,support german markup construct,RESOLVED WONTFIX,P3 enhancement
390199,add form widget factory create form widgets,RESOLVED FIXED,P3 enhancement
390200,enhancement java preferences page,CLOSED WONTFIX,P3 normal
390201,default size classifiers high,CLOSED WONTFIX,P3 normal
390202,database lock request early,CLOSED WONTFIX,P2 critical
390203,duplicate iu error build,RESOLVED FIXED,P3 normal
390204,migrate jsdt website git,RESOLVED FIXED,P3 normal
390205,unreadable font search dropdown,RESOLVED FIXED,P3 normal
390206,migrate ant website git,RESOLVED FIXED,P3 normal
390207,enhancement java preferences page,CLOSED WONTFIX,P3 normal
390208,migrate debug website git,RESOLVED FIXED,P3 normal
390209,migrate pde website git,RESOLVED FIXED,P3 normal
390210,new ui layout waste entire character row white space editor split,NEW,P3 normal
390211,product generate duplicate ius,NEW,P3 normal
390212,enhancement java preferences page,CLOSED WONTFIX,P3 normal
390213,datatype tinyint mssql server throw errors,NEW,P3 normal
390214,jpql state object move utils,RESOLVED FIXED,P3 enhancement
