id,title,status,importance
10000,code generation drop,RESOLVED WORKSFORME,P5 normal
10001,updateentry handle change correctly,RESOLVED INVALID,P3 normal
10002,detection cde active wm,RESOLVED FIXED,P4 minor
10003,table column,RESOLVED FIXED,P3 normal
10004,reparse change parse properties nothing,RESOLVED WONTFIX,P3 normal
10005,internalbootloader work directory name contain space,RESOLVED DUPLICATE of bug 3106,P2 normal
10006,error close workbench,CLOSED FIXED,P3 normal
10007,npe classcastexception rename class name,RESOLVED WORKSFORME,P3 normal
10008,internal compiler error compile switch statement,RESOLVED FIXED,P1 major
10009,create image descriptor registry shutdown,VERIFIED FIXED,P3 normal
10010,java browser open editors,RESOLVED FIXED,P3 normal
10011,team decorators outgo change sometimes incorrect,RESOLVED DUPLICATE of bug 3979,P3 normal
10012,cvs location update,RESOLVED FIXED,P3 enhancement
10013,multiple file switch,RESOLVED WORKSFORME,P3 enhancement
10014,ignore whitespace,RESOLVED DUPLICATE of bug 22069,P3 normal
10015,parse function declarations,CLOSED FIXED,P1 critical
10016,flicker output console,VERIFIED FIXED,P3 minor
10017,cursor movement,RESOLVED FIXED,P4 enhancement
10018,system object view take consideration exist selection,CLOSED FIXED,P3 normal
10019,right click list box select pop menu,RESOLVED FIXED,P3 normal
10020,remotely delete file currently open editor,CLOSED FIXED,P3 major
10021,set editor color set string require application,RESOLVED FIXED,P4 minor
10022,incorrect popup action enablement,RESOLVED FIXED,P2 minor
10023,nullpointerexception click,CLOSED DUPLICATE of bug 9684,P3 normal
10024,jdtcompileradapter ignore deprecation,RESOLVED DUPLICATE of bug 10047,P3 normal
10025,resize view use height ratios,RESOLVED INVALID,P3 major with 1 vote
10026,import file system file,RESOLVED DUPLICATE of bug 6983,P3 normal
10027,asterisk open type dialog work correctly,RESOLVED WORKSFORME,P2 normal
10028,codeassist seem swallow first letter,CLOSED FIXED,P3 normal
10029,tree view java package java browse view,RESOLVED DUPLICATE of bug 6454,P3 enhancement
10030,java copy class effect text,RESOLVED INVALID,P3 normal
10031,sef classcastexception,RESOLVED WORKSFORME,P2 normal
10032,open file default directory,VERIFIED FIXED,P3 normal
10033,arrayindexoutofboundsexception startup,RESOLVED DUPLICATE of bug 8762,P3 normal
10034,inconsistent file structure export select directories,CLOSED FIXED,P2 major
10035,launcher support variables,VERIFIED FIXED,P3 enhancement with 1 vote
10036,update java editor auto repeat mode,RESOLVED WONTFIX,P3 minor
10037,windows initially zero height enlightenment,RESOLVED DUPLICATE of bug 8510,P3 major
10038,export resources work,RESOLVED FIXED,P3 critical
10039,nullpointerexception select prefs development advance trace,RESOLVED WORKSFORME,P3 normal
10040,nullpointerexception project properties package view,RESOLVED INVALID,P3 normal
10041,console output become slow long line,RESOLVED DUPLICATE of bug 6949,P3 minor
10042,copy class java copy writable,RESOLVED WONTFIX,P3 minor
10043,enter bug impossiple cookies disable,RESOLVED WORKSFORME,P3 normal
10044,make source select elements dependent perspective,RESOLVED WONTFIX,P3 enhancement
10045,npe code assist call,RESOLVED DUPLICATE of bug 11024,P2 major
10046,ability view declaration name java editor,RESOLVED WORKSFORME,P3 enhancement
10047,jdtcompileradapter ignore deprecation,VERIFIED WORKSFORME,P3 normal
10048,error apply templates,RESOLVED DUPLICATE of bug 9909,P2 major
10049,generate getter setter menu available java browser,RESOLVED FIXED,P3 normal
10050,styledtext change selection color change background color,RESOLVED FIXED,P2 major
10051,turn class class,RESOLVED DUPLICATE of bug 9798,P3 enhancement
10052,codeformatter line split,VERIFIED FIXED,P3 normal with 2 votes
10053,allow show hierarchy type view,RESOLVED WONTFIX,P4 enhancement
10054,select markers usable search,RESOLVED FIXED,P2 normal
10055,specific namelookup scenario variable inside function work,CLOSED FIXED,P3 normal
10056,pointer declaration treat statement,CLOSED FIXED,P3 normal
10057,reference hierarchy,CLOSED WORKSFORME,P3 enhancement
10058,progress monitor java search operation create,RESOLVED WORKSFORME,P3 normal
10059,editor context menu contain invalid search entries,RESOLVED FIXED,P3 normal
10060,add preference allow run default target without display dialog,CLOSED DUPLICATE of bug 11445,P3 enhancement
10061,debug remove breakpoints fail use context menu action,CLOSED INVALID,P2 major
10062,debug view populate multiples exact similar breakpoints remote,RESOLVED INVALID,P3 normal
10063,debug disable breakpoint work remotely,CLOSED DUPLICATE of bug 10061,P2 major
10064,exception try relaunch remote debug session,CLOSED DUPLICATE of bug 11040,P2 critical
