id,title,status,importance
410000,revisit delegate ui api,CLOSED WONTFIX,P3 enhancement with 1 vote
410001,parameterized type get add jaxbcontext properly,RESOLVED FIXED,P3 normal
410002,bad documentation link,CLOSED FIXED,P3 normal
410003,must,VERIFIED FIXED,P3 blocker
410004,egx support eclipse platform resources,ASSIGNED,P3 normal
410005,timer set parent effective cascade child,CLOSED DUPLICATE of bug 410242,P3 normal
410006,variable debug simple php script use zend debugger,CLOSED DUPLICATE of bug 454407,P3 normal
410007,widget dispose debug,RESOLVED FIXED,P3 normal
410008,add documentation jndi embed,RESOLVED FIXED,P3 normal
410009,break platform update papyrus,CLOSED FIXED,P3 blocker
410010,move window detach view switch wrong tab,NEW,P3 normal
410011,attempt match outer scope ignore resources nest project,RESOLVED FIXED,P3 normal
410012,npm node orionode vs orion,RESOLVED WONTFIX,P3 normal
410013,use key user reference,RESOLVED FIXED,P3 normal
410014,declare kepler,VERIFIED FIXED,P3 normal
410015,confuse syntax highlighing,ASSIGNED,P3 normal
410016,update event relocate event,RESOLVED FIXED,P3 critical with 2 votes
410017,use image imageclass provide,RESOLVED FIXED,P3 normal
410018,problem locate event vertical scrollbar,NEW,P3 critical
410019,support host bugzilla landfille,CLOSED FIXED,P3 normal
410020,accessibility help java view window web browser honor os color support,NEW,P3 major
410021,take dependency,CLOSED FIXED,P3 normal
410022,setup api tool,RESOLVED FIXED,P3 normal
410023,setup api,RESOLVED WORKSFORME,P3 normal
410024,send unwanted selection events dispose,RESOLVED FIXED,P3 major
410025,hudson sandbox deal correctly git submodules,RESOLVED FIXED,P3 blocker
410026,regression duplicate profile plugins dropins,NEW,P3 normal with 1 vote
410027,retire,VERIFIED FIXED,P3 enhancement
410028,stardust project miss box download stats,RESOLVED FIXED,P3 normal
410029,problem dispatch methods,VERIFIED FIXED,P3 normal
410030,project name,RESOLVED FIXED,P3 normal
410031,job delete request,CLOSED FIXED,P3 normal
410032,active build configuration lose,NEW,P3 normal
410033,exception occur compilation unit conversion,RESOLVED DUPLICATE of bug 399794,P3 normal
410034,cdt debugger translate long array wrong memory address,NEW,P3 normal
410035,ok button stereotype selection dialog enable without stereotype selection,NEW,P3 trivial
410036,concurrentmodificationexception merge semantic deletion,CLOSED FIXED,P3 normal
410037,история событий,CLOSED NOT_ECLIPSE,P3 normal
410038,разобраться в структуре ui,CLOSED NOT_ECLIPSE,P3 normal
410039,add action save,NEW,P4 enhancement
410040,scopingfragments longer produce require bind,CLOSED FIXED,P3 critical
410041,able detect type module code,RESOLVED FIXED,P3 enhancement
410042,test result report write,CLOSED WORKSFORME,P3 blocker
410043,add elements link palette,RESOLVED FIXED,P3 normal
410044,make luadocumentation tag optionnal,RESOLVED FIXED,P3 enhancement
410045,add way manage structure,CLOSED DUPLICATE of bug 405458,P3 enhancement
410046,stardust final daze,CLOSED FIXED,P3 normal
410047,admin editor context preferences,RESOLVED FIXED,P3 normal
410048,archive old ecf build,RESOLVED FIXED,P3 normal
410049,complex placeholderfolder construct get render,VERIFIED FIXED,P3 major
410050,change default value formatter compliant lua convention,RESOLVED FIXED,P3 normal
410051,integrate new introspection version,RESOLVED FIXED,P3 normal
410052,concurrentmodificationexception switch editors,ASSIGNED,P3 normal
410053,miss,RESOLVED FIXED,P3 normal
410054,update manager,RESOLVED INVALID,P3 normal
410055,ip log break,RESOLVED FIXED,P3 normal
410056,move default method bring textual move wizard,VERIFIED FIXED,P3 enhancement
410057,xbasegeneratorfragment generate extensions deprecate extension point,NEW,P3 normal
410058,npe use versions plugin id,RESOLVED FIXED,P3 normal
410059,delete subtree remove markers associate stereotype double model validate without remove markers,RESOLVED FIXED,P3 normal
410060,auto completion work nest class,NEW,P3 normal
410061,click icons fire default selection event default button set,RESOLVED FIXED,P3 normal
410062,settings page constructor rely override methods,RESOLVED FIXED,P3 enhancement
410063,provide method,NEW,P3 enhancement
410064,sort function detail report view work well,CLOSED FIXED,P3 normal
410065,cme build,CLOSED FIXED,P3 normal
410066,display twice jar reference libs,NEW,P3 trivial
410067,packagefragmentrootdata cache work,CLOSED FIXED,P3 normal
410068,keybinding context switch stop work report conflict switch sibling context,VERIFIED FIXED,P3 critical
410069,eclipse xml editors tool sdk install error,RESOLVED WORKSFORME,P3 normal
410070,filesettingstore allow concurrent access,NEW,P3 normal
410071,arrayindexoutofbounds select difference,CLOSED FIXED,P3 normal
410072,save fail text difference,CLOSED FIXED,P3 normal
410073,concurrentmodificationexception group cascade differences,CLOSED FIXED,P3 normal
410074,refactoring throw nullpointerexception,RESOLVED FIXED,P3 major
410075,dependencies archive cause build fail,VERIFIED FIXED,P3 normal
410076,quick fix unimplemented work arguments annotation,CLOSED DUPLICATE of bug 388042,P3 normal
410077,javadoc extract generate html render bullets,VERIFIED FIXED,P3 normal
410078,quick access text box get squeeze stack perspective cannot view properly open perspective eclipse,NEW,P3 normal
410079,new isconcurrent flag session could cause dead connection add pool,RESOLVED FIXED,P3 normal
410080,problem viewport filter scroll far,CLOSED FIXED,P3 normal
410081,long node name fully visible editors view,CLOSED WONTFIX,P3 minor
410082,lts repos branch issue,NEW,P3 normal
410083,jetty clients submit incomplete url proxy,RESOLVED FIXED,P3 major
410084,use possible xmlconversionmanager,RESOLVED FIXED,P3 normal
410085,synchronization two host lead nullpointerexception second,CLOSED FIXED,P3 normal
410086,unnecessary copy javadoccontents,NEW,P3 trivial
410087,directtoolitem evaluate,CLOSED DUPLICATE of bug 465893,P3 normal with 1 vote
410088,order keyword cause duplicate column name sql select clause,NEW,P2 major with 1 vote
410089,link feeback break content page parallel development user guide,RESOLVED FIXED,P3 normal
410090,add support delay observable like iwidgetproperties,NEW,P3 normal
410091,ecf move archive,RESOLVED FIXED,P3 normal
410092,link graphical explorer mpi break content page parallel development user guide,RESOLVED FIXED,P3 normal
410093,need textfield act focus lose,NEW,P3 normal
410094,copy paste refresh navigator,RESOLVED FIXED,P3 normal
410095,property work jaxb context create use dynamicjaxbcontextfactory,NEW,P3 normal with 1 vote
410096,npe,NEW,P3 normal
410097,unable create sync transportexception,CLOSED FIXED,P3 critical
410098,inject header spdy http translation,CLOSED FIXED,P3 minor
410099,remote directory browser button create folder,CLOSED DUPLICATE of bug 396334,P3 normal
410100,reindexing file failure edit,CLOSED FIXED,P3 normal
410101,share filter workstations use remote sync folder,NEW,P3 enhancement
410102,compare commit fail load,RESOLVED FIXED,P3 major
410103,servicenotfoundexception create new diagram type empty model,RESOLVED FIXED,P3 normal
410104,problems properties dialog cancel,RESOLVED FIXED,P3 normal
410105,recent operations popup look awful,RESOLVED FIXED,P3 normal
410106,simplify sync architechture,CLOSED FIXED,P3 enhancement
410107,birt doc file older doc file,RESOLVED FIXED,P3 major
410108,decorator sometimes show even process run,CLOSED DUPLICATE of bug 337899,P3 minor
410109,assertionfailedexception xtend editor,CLOSED WORKSFORME,P3 normal
410110,select unselecting file filter dialog continually add new filter pattern,CLOSED FIXED,P3 normal
