id,title,status,importance
170000,update configurator reconcile newer feature even sit policy explicit inclusion plugin list,RESOLVED DUPLICATE of bug 190831,P2 normal
170001,source plugin include file need development,VERIFIED FIXED,P3 enhancement
170002,project facet show drop menu versions,CLOSED DUPLICATE of bug 115349,P3 major
170003,ear file appear ear project name menu new ejb project,NEW,P3 normal
170004,junit launch shortcut fail,CLOSED DUPLICATE of bug 181273,P1 major
170005,please add repository,RESOLVED FIXED,P3 normal
170006,xml log default type compiler log,RESOLVED WONTFIX,P3 enhancement
170007,restore state package explorer reactivate context,RESOLVED WONTFIX,P4 enhancement
170008,detect inform overlap source,NEW,P3 normal
170009,project create paste observe compiler level preference,RESOLVED WONTFIX,P3 normal
170010,fetch trac query attribute throw classcastexception,RESOLVED FIXED,P2 major
170011,feature allow write table folder,NEW,P3 enhancement
170012,asynchronous initialization may cause double creation,VERIFIED FIXED,P3 normal
170013,sign process return sign file,RESOLVED FIXED,P3 major
170014,tabfolder focus focus ring incorrect mac,RESOLVED WONTFIX,P3 major
170015,protect null active page,CLOSED FIXED,P3 normal
170016,protect null active page,CLOSED DUPLICATE of bug 170015,P3 normal
170017,command dispose immediately exceptions happen execution,NEW,P3 normal
170018,php explorer window display exception text,CLOSED WORKSFORME,P3 major
170019,surround keybindable,ASSIGNED,P3 enhancement
170020,pde editor handle schemas two elements use name,RESOLVED DUPLICATE of bug 77043,P3 normal
170021,swt item allow vary image text placement,RESOLVED WONTFIX,P3 normal
170022,make fmodificationstamp public documentevent,VERIFIED FIXED,P3 normal
170023,add quick fix final field,ASSIGNED,P3 enhancement with 2 votes
170024,column display topo view,RESOLVED FIXED,P2 major
170025,exception problems project explorer view commonnavigator base view,RESOLVED DUPLICATE of bug 237001,P3 normal
170026,copy paste text block twice make file dirty,CLOSED FIXED,P2 major
170027,create problem markers breakpoints unresolved move,RESOLVED FIXED,P3 enhancement
170028,provide newsgroup ua discussions,RESOLVED FIXED,P3 enhancement with 2 votes
170029,relate zone alert generate delete zone,CLOSED WONTFIX,P3 normal
170030,implicitly depend code,RESOLVED INVALID,P3 minor
170031,tabbedpropertyregistry need better error handle,RESOLVED WORKSFORME,P3 normal
170032,merge patient mrg segment include namespace assign authority,CLOSED FIXED,P3 normal
170033,editor tab reorder drag drop affordance,ASSIGNED,P5 normal
170034,update instructions build web viewer birt,RESOLVED FIXED,P3 minor
170035,connectathon pix source transaction miss bridge,CLOSED FIXED,P3 blocker
170036,jsp editor code completion hang first,CLOSED INVALID,P3 major
170037,customizable jsp code assist activation trigger,RESOLVED FIXED,P3 major
170038,get set function visibility table,CLOSED FIXED,P3 major
170039,java example cannot use java class,VERIFIED FIXED,P3 normal
170040,error occur update new feature feature update,CLOSED FIXED,P3 normal
170041,master detail snippet,VERIFIED FIXED,P3 normal
