id,title,status,importance
180000,unable find action,CLOSED FIXED,P3 normal
180001,compilation problems plugin start eclipse,CLOSED FIXED,P3 normal
180002,getfeatureid method delegatingecoreelist compute featureid use,VERIFIED FIXED,P3 normal
180003,textfiledocumentprovider check null,RESOLVED FIXED,P3 normal
180004,open view get place minimize stack get focus,VERIFIED FIXED,P3 normal
180005,use arrow help content navigation items work sled,RESOLVED DUPLICATE of bug 107331,P3 normal
180006,threadtransport never call,RESOLVED FIXED,P3 normal
180007,exception reopen bug submit,RESOLVED DUPLICATE of bug 179891,P3 normal
180008,userpropertyprovideradapter relate class redundant remove,CLOSED FIXED,P3 normal
180009,scrolledcomposite miss boolean boolean,RESOLVED FIXED,P3 normal
180010,repository specific tab miss lose offline data,RESOLVED FIXED,P2 normal
180011,feature id persistableelist wrong case multiple inheritance,VERIFIED FIXED,P3 normal
180012,clean misuse ilinkedtaskinfo addtotaskcontext object contribution,RESOLVED FIXED,P4 minor
180013,tagsupport plugin miss info,RESOLVED FIXED,P3 normal
180014,mouseup recieved combo click control,NEW,P3 normal with 1 vote
180015,vpd properties view list valid choices validatorid attr,CLOSED FIXED,P3 normal
180016,scrolledcomposite compute content size wrong,RESOLVED FIXED,P3 normal
180017,team share multiple project time,RESOLVED DUPLICATE of bug 104203,P3 enhancement
180018,validation errors access type match,NEW,P2 normal
180019,stackoverflowerror add button content scrolledcomposite,RESOLVED INVALID,P3 normal
180020,informational error message hide exceptions,NEW,P3 normal
180021,ge debug option default,CLOSED FIXED,P3 normal
180022,problems columns annotation adapters,CLOSED FIXED,P3 normal
180023,provide guarantee visibility schedule mechanism complete task,NEW,P2 enhancement
180024,invalidclassexception recreate offline task cache,RESOLVED INVALID,P3 normal
180025,example birt function,RESOLVED FIXED,P3 normal
180026,clear default button every second time,RESOLVED WONTFIX,P3 normal
180027,text scrollbar always visible,RESOLVED WONTFIX,P3 normal
180028,add icons attachments table,RESOLVED FIXED,P3 normal
180029,add resourcemanager editpartviewer,RESOLVED FIXED,P3 enhancement
180030,jdt throw arrayindexoutofbounds incremental build,RESOLVED WORKSFORME,P5 minor
180031,npe browser field windowevent fill,RESOLVED FIXED,P3 normal
180032,slash debug variables cause problems,VERIFIED FIXED,P3 normal
180033,report numberous error import alf common service wsdl,RESOLVED FIXED,P3 normal
180034,event dispatcher hold mouse capture mouse,RESOLVED FIXED,P3 normal
180035,problems enums,CLOSED FIXED,P3 major
180036,eclipse wtp crash,CLOSED WONTFIX,P3 major
180037,staticselectioncommand ignore editingdomain workbench,RESOLVED DUPLICATE of bug 174240,P3 major
180038,location wsdl alf common service move,RESOLVED FIXED,P3 normal
180039,stereotype enumerationliteral work,CLOSED NOT_ECLIPSE,P3 normal
180040,consistent memory error condition create manage bean,RESOLVED DUPLICATE of bug 92250,P3 normal
180041,spell accessibility errors,CLOSED FIXED,P1 normal
180042,organize import feature toggle import statements dollar sign,RESOLVED WORKSFORME,P3 normal
180043,run eclipse application manifest editor shortcut different launch,RESOLVED FIXED,P3 normal
180044,merge generate code confuse annotation,RESOLVED DUPLICATE of bug 178183,P3 normal
180045,debug swing app linux completely freeze window system,RESOLVED DUPLICATE of bug 20006,P3 normal
180046,patch antadapter,VERIFIED FIXED,P3 normal
180047,generate code annotate java test,VERIFIED FIXED,P3 enhancement
180048,cannot specify eenum use annotate,VERIFIED FIXED,P3 enhancement
180049,logic example editor miss geoshapes,RESOLVED FIXED,P3 normal
180050,miss agent bind linux ac package,CLOSED FIXED,P1 blocker
180051,duplicate source,CLOSED FIXED,P3 normal
180052,variable available tcl code templates,RESOLVED FIXED,P3 minor
180053,source entry ant bundle,RESOLVED FIXED,P3 normal
180054,error copy axis jar file web null pointer exception,CLOSED FIXED,P1 blocker
180055,dynamic parameter value,RESOLVED FIXED,P3 normal
180056,duplicate source jsf plugins,CLOSED DUPLICATE of bug 174730,P3 normal
180057,consume junit orbit,RESOLVED FIXED,P3 normal
