id,title,status,importance
280000,npe uischedulerstrategy,RESOLVED FIXED,P3 normal
280001,injection exceptions shut photo demo,RESOLVED WORKSFORME,P3 normal
280002,scrollbar dissapears resize,RESOLVED WONTFIX,P3 normal
280003,nls unused,RESOLVED WONTFIX,P3 normal
280004,create test exist record allow overwrite testsuite,CLOSED FIXED,P2 normal
280005,crash due call swt code rhel,RESOLVED FIXED,P3 normal
280006,numerous nls unused message relate,RESOLVED WONTFIX,P3 normal
280007,perform self update break product,RESOLVED FIXED,P3 critical with 4 votes
280008,resume pack native,CLOSED FIXED,P3 normal
280009,badly form html,RESOLVED FIXED,P3 normal
280010,add include feature work c chelpprovider info,RESOLVED FIXED,P3 normal
280011,diagnose assign twice one label one branch,CLOSED FIXED,P3 normal
280012,nullpointerexception use save restore,NEW,P3 normal
280013,abstractconsole cannot handle terminal boldface normal sequence,RESOLVED DUPLICATE of bug 76936,P3 normal
280014,page update string php welcome page,RESOLVED FIXED,P3 normal
280015,illegalargumentexception dump console run test,RESOLVED FIXED,P2 minor
280016,error press escape report bug wizard,RESOLVED FIXED,P3 minor
280017,ganymede clean silently fail,NEW,P3 enhancement
280018,improve error discovery extension specify wrong feature id,RESOLVED FIXED,P3 normal
280019,repository name add instal connector,RESOLVED FIXED,P3 normal
280020,reorder elements outline view change relative order,NEW,P3 normal
280021,jsdt act oddly function literals follow semicolon,RESOLVED DUPLICATE of bug 263222,P3 normal
280022,line comment highlight correctly first line,RESOLVED DUPLICATE of bug 263222,P3 normal
280023,need get redirect location http,RESOLVED FIXED,P3 normal
280024,reference sit include galileo discover site,RESOLVED FIXED,P3 major
280025,nosuchprofileexception use connection profile name contain colon,RESOLVED FIXED,P3 normal
280026,create link root sdk platform action,RESOLVED FIXED,P3 normal
280027,use local repository source,RESOLVED WORKSFORME,P3 normal
280028,property bind web service data set,CLOSED FIXED,P3 normal
280029,build label epf build,RESOLVED WONTFIX,P3 normal
280030,default datetime format correct group,VERIFIED FIXED,P3 normal
280031,remove border summaries,RESOLVED FIXED,P3 minor
280032,black shadow hyperlink menu height width,VERIFIED FIXED,P3 normal
280033,improve customize perspective dialog group tab,RESOLVED FIXED,P3 normal with 1 vote
280034,issue set multiple default value paramter duplicate,NEW,P3 normal
280035,report document delete shutdown tomcat,NEW,P3 normal
280036,modify hyperlink menu item properties seem,VERIFIED FIXED,P3 normal
280037,new project delete confirmation clear,RESOLVED INVALID,P3 normal
280038,width label work correctly pdf,RESOLVED WONTFIX,P3 normal
280039,miss node outline view,CLOSED DUPLICATE of bug 278603,P3 normal
280040,basicdecorationnodeimpl cannot restore persist model,RESOLVED FIXED,P3 normal
280041,height crosstab cell work html show measure view chart,CLOSED DUPLICATE of bug 271984,P3 normal
280042,cssclassprovider idea,RESOLVED WORKSFORME,P3 normal
280043,support open resource explorer view,RESOLVED FIXED,P3 enhancement
280044,support save screenshots disk,NEW,P5 enhancement
280045,number series issue,CLOSED FIXED,P3 normal
280046,transformations work also additional aspects,NEW,P3 normal
280047,add ability flag warn error,NEW,P3 enhancement
280048,remove library warn embed image reference,CLOSED WONTFIX,P3 normal
280049,use deprecate swt api,RESOLVED FIXED,P3 trivial
280050,report error icon navigator view,RESOLVED WONTFIX,P3 normal
280051,sort crosstab work,RESOLVED WONTFIX,P3 major
280052,open dialog box icellmodifier event break view tab selections,CLOSED DUPLICATE of bug 313208,P3 normal
280053,build allocate progress close project,RESOLVED FIXED,P3 normal
280054,jdt behavior differ javac generic method,CLOSED DUPLICATE of bug 277643,P3 normal
280055,refactor package generation part,CLOSED FIXED,P3 normal
280056,load emf model throw filenotfoundexception,CLOSED FIXED,P3 critical
280057,extra dialog report package,CLOSED FIXED,P3 normal
280058,set collections possible,CLOSED FIXED,P3 normal
280059,cannot undo delete file,CLOSED FIXED,P3 normal
280060,support tool style,RESOLVED FIXED,P3 enhancement
280061,aioobe format javadoc comment,VERIFIED FIXED,P3 normal
280062,use fontdescriptor instead fontdata,RESOLVED FIXED,P3 trivial
280063,return consistent result,VERIFIED FIXED,P3 normal
280064,support mandatory change,ASSIGNED,P3 enhancement
280065,strange item appearance scroll safari,RESOLVED FIXED,P3 normal
280066,improve possibilities handle single line comment,CLOSED DUPLICATE of bug 313133,P3 normal
280067,jet graduation upgrade version number,RESOLVED FIXED,P3 normal
280068,package break press back preview,VERIFIED FIXED,P3 major
280069,ask syndication planet eclipse,RESOLVED FIXED,P3 normal
280070,npe use plugin spy navigate menu,RESOLVED FIXED,P3 normal
280071,split workbench code,RESOLVED WORKSFORME,P3 enhancement
280072,use tab edit multiple cells ie,RESOLVED WORKSFORME,P3 normal with 1 vote
280073,graph class leak color object,RESOLVED FIXED,P3 normal
280074,miss,RESOLVED FIXED,P3 enhancement
280075,getitemheight miss,RESOLVED FIXED,P3 enhancement
280076,make model load plugable,RESOLVED FIXED,P3 normal
280077,incorrect diagram update first diagram open,RESOLVED FIXED,P3 normal
280078,code assist work properly extend class project,CLOSED FIXED,P3 critical
280079,npe parse,VERIFIED FIXED,P3 normal
280080,exception process async thread queue java eclipse gallileo,NEW,P3 normal
280081,interoperability acceleo java,CLOSED FIXED,P3 major
280082,clean various dom nod,RESOLVED FIXED,P3 normal
280083,show activator,RESOLVED WORKSFORME,P3 normal
280084,update ip log,RESOLVED FIXED,P3 normal
280085,update ip log,RESOLVED FIXED,P3 normal
280086,php explorer show directories sort,CLOSED INVALID,P3 normal
280087,toolbar support code cause legacy view creation error,RESOLVED FIXED,P3 normal
280088,weight calculations amount billion,RESOLVED FIXED,P3 normal
280089,entity generation wizard generate entity attribute due npe,NEW,P3 normal
280090,many update sit file wrong,RESOLVED FIXED,P3 major
280091,compatibility checker fail parse java version,RESOLVED FIXED,P3 minor
280092,automatically add vm args,NEW,P3 enhancement
280093,pii string reference doc find,VERIFIED FIXED,P3 normal
280094,use model query extensions,RESOLVED FIXED,P3 normal
280095,php explorer list project file import cvs new project,CLOSED FIXED,P3 normal with 1 vote
280096,install build eclipse,RESOLVED WORKSFORME,P3 normal
280097,small typo datapool,CLOSED FIXED,P2 normal
280098,validation dialog use wrong parent shell,RESOLVED FIXED,P3 minor
280099,collapse detail section keep expand self,RESOLVED WORKSFORME,P3 normal
280100,crossreferencetemplatevaribleresolver sometimes use wrong context scoping,CLOSED WORKSFORME,P3 normal
280101,eclipse crash move file package explorer,RESOLVED DUPLICATE of bug 274349,P3 normal
280102,fail empty repository,CLOSED FIXED,P3 normal
280103,rms demo,RESOLVED FIXED,P3 critical
280104,use error type,RESOLVED INVALID,P3 normal
280105,reproducable object windowed ancestor,RESOLVED WONTFIX,P3 normal
