id,title,status,importance
130000,reconcilecontext return ast,VERIFIED FIXED,P3 normal
130001,api hasstatementrecovery,VERIFIED FIXED,P3 normal
130002,web service client handler dialog launch point,CLOSED DUPLICATE of bug 134913,P3 major
130003,port extend ant support original ibm contribution,RESOLVED WONTFIX,P3 enhancement
130004,debug step lose frame focus,RESOLVED WORKSFORME,P3 minor
130005,update update manager wizard icon use png format,RESOLVED WONTFIX,P3 normal
130006,javascript preview preview specify file,CLOSED WONTFIX,P4 normal
130007,add match quote match bracket,RESOLVED FIXED,P3 enhancement
130008,class rename problem,CLOSED INVALID,P3 normal
130009,enable audit rule diagram elements gmfmap model,RESOLVED FIXED,P3 normal
130010,need change icons high contrast modes,RESOLVED WONTFIX,P3 enhancement
130011,table eraseitem listener make item go blank,RESOLVED WORKSFORME,P3 normal
130012,use jre classpath container project,CLOSED FIXED,P2 blocker
130013,update reviewdecorator use diagrameventbroker,RESOLVED FIXED,P3 critical
130014,diagram elements create canonicaleditpolicy disappear diagram reopenning,RESOLVED FIXED,P3 normal
130015,user tab description field,CLOSED WONTFIX,P3 minor
130016,build command wipe whole filesystem,RESOLVED INVALID,P3 normal
130017,cannot use static methods,VERIFIED FIXED,P3 normal
130018,update wtp wizard icons use png format,RESOLVED FIXED,P3 normal
130019,save image dialog update file extension,RESOLVED FIXED,P3 minor
130020,incorrect label save image dialog,RESOLVED FIXED,P3 minor
130021,could connect lead lead inside circuit,RESOLVED DUPLICATE of bug 123784,P3 normal
130022,perfmonagent report errors back workbench problem occur,CLOSED WONTFIX,P1 major
130023,add measureitem listener table columns hang,RESOLVED FIXED,P3 normal
130024,custom tableitems treeitems cannot shrink measureitem,NEW,P3 normal with 5 votes
130025,table cheese scroll horizontally,RESOLVED WORKSFORME,P3 normal
130026,usage xml log could improve build result,RESOLVED FIXED,P3 normal
130027,change members package cause error,RESOLVED FIXED,P3 normal
130028,npe httplistener,RESOLVED FIXED,P3 normal
130029,wireadmin declarative service need remove osgi service feature,RESOLVED FIXED,P3 normal
130030,fontnamecontributionitem must override,RESOLVED FIXED,P3 normal
130031,cannot specify tableitem height smaller value default,RESOLVED DUPLICATE of bug 154341,P3 normal
130032,method inlining shadow field,ASSIGNED,P3 normal
130033,connection refuse exception execute junit test zseries,CLOSED WORKSFORME,P1 major
130034,combine open type open type hieararchy,RESOLVED WONTFIX,P3 enhancement
130035,lock screen windows xp resize workbench setup,RESOLVED WONTFIX,P3 minor
130036,still need plugin development,RESOLVED WONTFIX,P3 normal
130037,cheese drop treeitem image set,NEW,P3 normal
130038,dialog box size location persistence,RESOLVED FIXED,P3 normal
130039,cannot remove property properties view,VERIFIED FIXED,P3 normal
130040,build timestamp download page,CLOSED INVALID,P3 normal
130041,support jsf expression language content assist require,CLOSED INVALID,P2 normal
130042,throw exception one edit part contain another,RESOLVED FIXED,P3 normal
130043,content allow,RESOLVED FIXED,P3 normal
130044,workbench preference remove cant set,RESOLVED WORKSFORME,P3 normal
130045,method invocation detail view presentation issue,CLOSED DUPLICATE of bug 142596,P3 normal
130046,remove element classpath move focus next selection,RESOLVED FIXED,P3 enhancement
130047,method invocation detail view terminology,CLOSED DUPLICATE of bug 142596,P3 enhancement
130048,launch equinox profile mode,CLOSED FIXED,P3 major
130049,test case need new profile launch configuration items,CLOSED FIXED,P1 normal
130050,tree repaint items flash update,RESOLVED FIXED,P3 normal
130051,search dynamic content properly,RESOLVED FIXED,P1 major
130052,make tray dialog sash fix size,NEW,P3 minor
130053,aioobe commit,RESOLVED DUPLICATE of bug 101499,P3 normal
130054,launchers miss rcp delta pack delta pack drop,RESOLVED DUPLICATE of bug 128598,P3 normal
130055,add help topics describe use command link help,RESOLVED FIXED,P3 enhancement
130056,use osgi bundle manifest,CLOSED FIXED,P3 normal
130057,removals get overwrite,CLOSED FIXED,P1 critical
130058,interface signature comment propagate concrete class,RESOLVED WONTFIX,P3 normal
130059,show open package explorer,RESOLVED WORKSFORME,P3 normal
130060,exception throw try close report,CLOSED FIXED,P2 normal
130061,model unit test failures errors daily build,CLOSED FIXED,P3 normal
130062,engine unit test failures daily build,CLOSED FIXED,P3 normal
130063,show multi section tabbed property,RESOLVED WONTFIX,P3 normal
130064,build hard read search text,RESOLVED DUPLICATE of bug 138520,P3 normal
130065,start eclipse installation itanium,CLOSED WONTFIX,P3 normal
130066,old code cause nullpointerexception newjavaclasswizardpage,CLOSED FIXED,P3 major
130067,compiler report class jar plugin,RESOLVED FIXED,P3 normal
130068,parameter window pop preview report,CLOSED FIXED,P3 normal
130069,master page content overlap body content preview pdf,CLOSED FIXED,P3 normal
130070,create empty new,CLOSED FIXED,P2 normal
130071,runtimeexception click property editor preview view,CLOSED DUPLICATE of bug 130273,P3 major
130072,include inside affect pdf,VERIFIED WONTFIX,P3 normal
130073,meter needle,CLOSED FIXED,P2 normal
130074,failure start tomcat server,CLOSED WONTFIX,P3 major
