id,title,status,importance
240000,splash templates generate bad comment,RESOLVED FIXED,P3 trivial
240001,viewer export word fonts pass word document,RESOLVED FIXED,P3 normal
240002,doc clarification artifact repository,RESOLVED FIXED,P3 normal
240003,order hyperlink choices incorrect linux mac,RESOLVED WORKSFORME,P4 normal
240004,doc clarification jsf library reference,RESOLVED FIXED,P3 normal
240005,jdt view reflect choice color,RESOLVED WORKSFORME,P3 minor
240006,doc clarification,RESOLVED INVALID,P3 normal
240007,iresourcelocator inefficiency,RESOLVED FIXED,P3 normal
240008,extension point,CLOSED FIXED,P1 critical
240009,call many time,VERIFIED FIXED,P3 normal
240010,code assist extend interfaces show methods,CLOSED FIXED,P3 normal
240011,support inline definition type,NEW,P3 enhancement
240012,commitunitofworkforcingsqlexceptiontest fail sybase,CLOSED DUPLICATE of bug 261660,P2 normal
240013,reportqueryfunctiontypetestcase fail sybase,RESOLVED FIXED,P3 normal
240014,reportqueryandexistssubquery fail sybase,CLOSED DUPLICATE of bug 261666,P2 normal
240015,implement policy limit number thread create jobmanager,RESOLVED WONTFIX,P3 enhancement
240016,npe open terminal first time,RESOLVED INVALID,P3 normal
240017,doc reword,RESOLVED FIXED,P3 normal
240018,investigate id validation pde symbol,RESOLVED DUPLICATE of bug 174362,P3 normal
240019,ssh access,CLOSED FIXED,P3 normal with 1 vote
240020,db detection break miss trunk build,RESOLVED FIXED,P3 normal
240021,gain control compilationunit creation jdt use aspects,RESOLVED FIXED,P3 enhancement
240022,plugincontentpage fragmentcontentpage,NEW,P3 enhancement
240023,get rid button,RESOLVED FIXED,P3 enhancement
240024,jface accelerator work,RESOLVED INVALID,P3 normal
240025,body xsinsp template incorrect,CLOSED FIXED,P3 normal
240026,creation icons sign,VERIFIED FIXED,P3 normal
240027,problems load share library long path,NEW,P3 normal with 3 votes
240028,cannont create query folder,CLOSED FIXED,P3 normal
240029,clear way set environment iremoteprocessbuilder,RESOLVED FIXED,P3 normal
240030,environment incorrect remote process builders,RESOLVED FIXED,P3 normal
240031,cannot submit,CLOSED FIXED,P3 normal
240032,eclipselink copypolicy annotation documentation need,RESOLVED FIXED,P3 normal
240033,encounter problem,RESOLVED FIXED,P3 major with 2 votes
240034,eclipse ignore file encode bom,VERIFIED FIXED,P3 normal
240035,support clonecopypolicy,NEW,P3 enhancement
240036,support changetracking,RESOLVED FIXED,P3 enhancement
240037,numberformatexception print stdout invalid rexec port give new connection wizard,RESOLVED FIXED,P3 normal
240038,support readonly,RESOLVED FIXED,P3 enhancement
240039,error reporter test,RESOLVED INVALID,P3 normal
240040,design template refer uc realization,CLOSED FIXED,P3 normal
240041,ds quick fix,NEW,P3 enhancement
240042,support customizer,RESOLVED FIXED,P3 enhancement
240043,template need provide use case realizations,CLOSED WONTFIX,P3 enhancement
240044,add new mi command gdb,CLOSED FIXED,P3 enhancement
240045,directory never use impelmenters iremoteprocessbuilder,CLOSED FIXED,P3 major
240046,task name label progress view overlap button,CLOSED WORKSFORME,P3 minor
240047,ship ajdt weave jdt core,RESOLVED FIXED,P3 enhancement with 1 vote
240048,method npe change method signature refactoring,CLOSED DUPLICATE of bug 350375,P3 normal
240049,support mappings,NEW,P3 enhancement
240050,delete object store multiple table get integrity constraint exception,RESOLVED DUPLICATE of bug 240197,P3 normal
240051,protect instead package protect,CLOSED FIXED,P3 trivial
240052,javadoc hover throw never appear,RESOLVED DUPLICATE of bug 213194,P3 normal
240053,product export ui generate,RESOLVED FIXED,P3 major
240054,classcastexception try expand domain model file node navigator,NEW,P3 normal
240055,reconsider presentation iu size,RESOLVED FIXED,P4 normal
240056,xsd preview wsdl editor update external schema elements,NEW,P3 normal
240057,wiki slow,RESOLVED DUPLICATE of bug 237495,P3 normal
240058,duplicate local task schedule presentation schedule due date different,RESOLVED FIXED,P2 normal
240059,gmf logic diagram outline tree show one level,NEW,P3 normal with 1 vote
240060,support eclipselink namedstoredprocedurequery,NEW,P3 enhancement
240061,test within fail,RESOLVED FIXED,P2 normal
240062,resolver status message,RESOLVED FIXED,P3 normal
240063,duplicate specifications result npe,RESOLVED FIXED,P3 normal
240064,code completion append unrelated content editor,VERIFIED FIXED,P3 normal
240065,document apis sdd programmatic interface,RESOLVED FIXED,P3 enhancement
240066,self report project label project component,RESOLVED WONTFIX,P3 enhancement
240067,local task,RESOLVED DUPLICATE of bug 204279,P3 normal
240068,iconstants idsconstants duplicate entries,RESOLVED FIXED,P3 normal
240069,need fix markers fixme systemcompilemultipleselectaction,RESOLVED FIXED,P3 normal
240070,readme link miss,RESOLVED FIXED,P3 normal
240071,gmf logic diagram lack domain logic implementation,NEW,P3 normal
240072,doc reword,RESOLVED FIXED,P3 normal
240073,isv guide doc corrections,VERIFIED FIXED,P3 normal
240074,add xerces sml feature,CLOSED FIXED,P3 normal
240075,eclipse ganymede keep give nullpointerexception,RESOLVED WORKSFORME,P2 normal
240076,noclassdeffounderror taskelementlabelprovider,RESOLVED FIXED,P1 normal
240077,enterprise integration integration pattern diagram,RESOLVED FIXED,P3 major
240078,remove reference openup,CLOSED FIXED,P3 normal
240079,accprobe crash inspect symphony explorer view,CLOSED INVALID,P3 normal
240080,npe write name query,VERIFIED FIXED,P3 normal
240081,testerrorexprs junit fail occasionally,NEW,P3 normal
240082,error generate pdf report webshpere rsa,RESOLVED FIXED,P3 blocker
240083,accprobe mouse cursor track mode function properly inspect symphony document,CLOSED FIXED,P3 normal
240084,export rcp product cause build application start corrupt file,RESOLVED DUPLICATE of bug 240053,P3 critical
240085,smart rename fault work generate fault name,NEW,P3 minor
240086,delete delete correspoding uml node,VERIFIED FIXED,P3 normal
240087,throw npe instal bootstrap applicaiton,RESOLVED DUPLICATE of bug 237667,P3 normal
240088,incorect,VERIFIED FIXED,P3 normal
240089,launch terminate status execute errors,RESOLVED FIXED,P3 normal
240090,wrong package output jar file,RESOLVED DUPLICATE of bug 203235,P2 normal
240091,content assist el proposals calculation bean high number properties unreasonably slow,RESOLVED FIXED,P3 normal
240092,way launch configure gdb process dsf customizable,VERIFIED FIXED,P3 normal
240093,cannot install jira connector ganymede,RESOLVED DUPLICATE of bug 239422,P3 normal
240094,navigational keybindings quick view,RESOLVED WONTFIX,P3 enhancement with 1 vote
240095,prompt download context task activate,RESOLVED FIXED,P3 normal
240096,task list listen change context manager,NEW,P2 enhancement
240097,allow paste middle mouse button,RESOLVED FIXED,P3 normal
240098,cursor blink terminal disconnect,RESOLVED FIXED,P3 enhancement
240099,npe abstractbundle,NEW,P3 normal
240100,settings dialog button instead button,RESOLVED WONTFIX,P3 normal
240101,include free,CLOSED DUPLICATE of bug 247099,P3 normal
240102,enhance data engine performance,RESOLVED FIXED,P3 normal
240103,register collapse handler task list consider include button toolbar,RESOLVED FIXED,P3 enhancement with 1 vote
240104,ecore model get estringtostringmapentry,RESOLVED WORKSFORME,P3 normal
240105,date validation break,RESOLVED FIXED,P3 normal
240106,jsdt inference engine ignore jsdoc info,RESOLVED INVALID,P3 major with 1 vote
240107,eclipse use instead installation folder file need modify runtime,RESOLVED INVALID,P3 normal
240108,cannot customize run ant build file run ant build,RESOLVED FIXED,P3 normal
240109,cursor display address bar rad wid,RESOLVED DUPLICATE of bug 181410,P3 normal
240110,default user id predefined account name,RESOLVED INVALID,P3 enhancement
240111,generate action contextual menu file,RESOLVED DUPLICATE of bug 193147,P3 enhancement
240112,copycommand break use editingdomain optimizecopy false,VERIFIED FIXED,P3 normal
240113,uri resolver framework need junit test,NEW,P3 enhancement
240114,issue style name different css,CLOSED INVALID,P3 normal
240115,remove inapplicable action include css style context,CLOSED FIXED,P3 normal
240116,long symbolic bundle name get truncate create bundle jar,RESOLVED FIXED,P3 normal
240117,paste remove menu include css,CLOSED DUPLICATE of bug 240115,P3 normal
240118,copy qualify name copy path instead,RESOLVED INVALID,P3 normal
240119,add reload css file menu style,CLOSED FIXED,P3 enhancement
240120,jdt start correctly,VERIFIED WORKSFORME,P3 major with 1 vote
240121,version canonicalized load update site,RESOLVED FIXED,P3 major
240122,write dbcs char error extension,RESOLVED INVALID,P3 normal
240123,emf validation handle composite inclusion,CLOSED WONTFIX,P3 enhancement
240124,bug report,RESOLVED DUPLICATE of bug 238863,P3 normal
240125,dependencies display instal feature,RESOLVED DUPLICATE of bug 224472,P3 normal
240126,java ee project creation wizards default configuration lose change java ee version,RESOLVED INVALID,P3 normal
240127,tooltips annotations mark occurrences right ruler,CLOSED FIXED,P3 normal
240128,unable launch svn ide,RESOLVED FIXED,P3 major
240129,add button link error log detail copy console,RESOLVED DUPLICATE of bug 217752,P3 enhancement
240130,mouse right click webcontent folder freeze eclipse long time,RESOLVED INVALID,P3 normal
240131,build error eclipse ui,CLOSED WORKSFORME,P3 normal
240132,add additions data chart,NEW,P3 enhancement
240133,getrepository exception null argument,RESOLVED FIXED,P3 normal
240134,form form field cannot resolve,NEW,P3 enhancement
240135,respect contract,VERIFIED FIXED,P3 major
240136,remove qualifier non static member access work methods define class selector different parameters,ASSIGNED,P3 normal with 1 vote
240137,minor typos,RESOLVED FIXED,P3 trivial
240138,add method better performance,RESOLVED FIXED,P3 normal
240139,drag drop package fall,RESOLVED FIXED,P3 normal
240140,debug preferences persist dialog close,CLOSED FIXED,P3 normal
240141,create practitioners package model,RESOLVED FIXED,P3 enhancement
240142,set selection,RESOLVED FIXED,P3 normal
240143,improve memory consumptions widgets,CLOSED FIXED,P3 enhancement
240144,change,RESOLVED FIXED,P3 normal
240145,try refactor code,RESOLVED FIXED,P3 normal
240146,doc clarification type member member type,VERIFIED FIXED,P3 normal
240147,provide utility method set qvto transformation nature project,RESOLVED FIXED,P3 normal
240148,doc clarification,RESOLVED FIXED,P3 normal
240149,failures,RESOLVED WORKSFORME,P3 normal
240150,default value eenum underline,RESOLVED WONTFIX,P3 enhancement
240151,minor typos roadmap logical model page,RESOLVED FIXED,P3 trivial
240152,apache tomcat server launch problem,CLOSED DUPLICATE of bug 237222,P3 normal
240153,zero detect null primary key,RESOLVED INVALID,P3 normal
240154,link input file submit gria job point stager grid instead source file,CLOSED FIXED,P3 normal
240155,crosstab issue,RESOLVED WORKSFORME,P3 normal
240156,include information merge revisions annotation,RESOLVED FIXED,P3 enhancement
240157,include annotations export model,NEW,P3 enhancement
240158,documentation plugin also generate pdf,CLOSED WONTFIX,P3 enhancement
240159,creation time column timestamp problems view,VERIFIED FIXED,P3 normal
240160,documentation generate doc plugin need better format,CLOSED WONTFIX,P3 enhancement
240161,class load invalid xsd without throw,CLOSED FIXED,P3 major
240162,exception binary refactoring rename method different workspace,RESOLVED DUPLICATE of bug 199016,P3 normal
240163,value column row say,RESOLVED FIXED,P3 normal
240164,stackoverflowerror advancedtooltipdialog render osx,RESOLVED FIXED,P3 normal
240165,provide incubator feature via update site,NEW,P3 normal
240166,fail oasis xsd file,RESOLVED FIXED,P3 normal
240167,delete server servers view close open server editor,RESOLVED FIXED,P3 normal
240168,import easymock package,RESOLVED FIXED,P3 normal
240169,new session bean wizard select wrong project,CLOSED INVALID,P3 normal
240170,xpath content assist narrow result,RESOLVED FIXED,P4 normal
240171,incorrect translation new data set wizard italian,VERIFIED WORKSFORME,P3 normal
240172,doc clarification remove,RESOLVED FIXED,P3 normal
240173,xpath content assist show incorrect description,RESOLVED FIXED,P3 normal
240174,problems write profile example script launch,RESOLVED FIXED,P3 normal
240175,bidi enablement designer layout editor,RESOLVED FIXED,P3 normal
240176,tomcat server timesout start debug mode,NEW,P3 normal
240177,transfer old email new email,RESOLVED FIXED,P3 normal
240178,use file name get imagedescriptor,ASSIGNED,P3 normal
240179,script executable unzip,RESOLVED FIXED,P3 normal
240180,classpath target contain,RESOLVED FIXED,P3 normal
240181,birt viewer fail deliver chart silently without cookies,VERIFIED FIXED,P3 enhancement
240182,platform need truncate long constraint name ddl,RESOLVED FIXED,P5 normal
240183,event field mark error event html attribs,RESOLVED FIXED,P3 normal
240184,insert line last one corrupt difference mark compare editor,NEW,P3 minor
240185,oom click variables debugger,RESOLVED INVALID,P3 normal
240186,storedprocedure generator use incorrect keyword parameter,NEW,P5 normal
240187,problem import rsm,RESOLVED FIXED,P3 normal
240188,toggle watchpoint toggle method breakpoint always enable,ASSIGNED,P3 enhancement
240189,annotation process interceptors,RESOLVED FIXED,P3 major
240190,tabfolder image show setimage settext setcontrol,RESOLVED FIXED,P3 normal
240191,export local task title fail several local task export,RESOLVED FIXED,P3 normal
240192,deploy transformation fail resolve import,RESOLVED INVALID,P3 normal
240193,wrong selection set programmatically change afterwards via mouse click,RESOLVED FIXED,P3 normal
240194,directives within arguments macro expansion,VERIFIED FIXED,P3 normal
240195,support multiple aws account imountable action,CLOSED FIXED,P3 enhancement
240196,enable finish button add task repository wizard,RESOLVED INVALID,P3 normal
240197,delete fail multiple table primary key object jdk,RESOLVED FIXED,P3 normal
240198,service model serialization,RESOLVED FIXED,P3 normal
240199,need accurate way detect jpa test run oracle database,RESOLVED FIXED,P3 normal
240200,drag experiment,CLOSED FIXED,P3 normal
240201,provide model diff viewer refactoring wizard,CLOSED FIXED,P3 enhancement
240202,wsdl wizard use protocol label generate port bind name,CLOSED FIXED,P3 normal
240203,permission deny tag,RESOLVED FIXED,P3 normal
240204,sml mdr example query produce response,CLOSED FIXED,P3 normal
240205,instance allow instantiate abstract type,CLOSED INVALID,P3 normal
240206,ityperoot tag,VERIFIED FIXED,P3 trivial
240207,variable equinox configuration,CLOSED DUPLICATE of bug 241192,P3 enhancement with 2 votes
240208,single vmnode represent execution level,ASSIGNED,P3 enhancement
240209,nls message variable wrong case,RESOLVED INVALID,P3 normal
240210,several lrg test hang sybase,RESOLVED FIXED,P3 normal
240211,use one,RESOLVED FIXED,P3 enhancement
240212,splash fail webstart,RESOLVED FIXED,P3 normal with 4 votes
240213,nestable gridcolumngroups,NEW,P5 enhancement with 2 votes
240214,final bite clear class file access flag anonymous class,VERIFIED FIXED,P3 normal
240215,change track weave attribute map superclasses,CLOSED DUPLICATE of bug 241979,P3 normal
240216,remove jar file sml mdr lib,RESOLVED FIXED,P1 normal
240217,writeprofile patch,RESOLVED FIXED,P3 normal
240218,clientcontext id elementtypebindings unique,RESOLVED FIXED,P3 normal
240219,window focus incorrectly give detach window find,NEW,P3 normal with 2 votes
240220,add breakpoint stop debugger javascript,RESOLVED FIXED,P3 major
240221,statuses referencedproject generation lose,RESOLVED FIXED,P3 normal
240222,miss string,RESOLVED DUPLICATE of bug 236775,P3 normal
240223,reduce number zip produce per,RESOLVED WONTFIX,P3 normal
240224,sockets leave,RESOLVED FIXED,P2 normal
240225,performance problem client scenario,CLOSED FIXED,P3 normal
240226,generate directory clean reference stuff,RESOLVED FIXED,P3 normal
240227,configuration tree categories,CLOSED FIXED,P2 major
240228,isplanned task copy correctly,CLOSED FIXED,P2 major
240229,bug report,RESOLVED FIXED,P3 normal
240230,list edatatype without instanceclass work,CLOSED FIXED,P2 normal
240231,web service test client jsp sometimes launch,CLOSED FIXED,P3 normal
240232,new next problem previous problem,RESOLVED DUPLICATE of bug 80894,P3 normal
240233,need way override ping factory,NEW,P3 major
240234,generate ajdoc command fail project large number file,RESOLVED FIXED,P3 normal
240235,syndicate code blog,RESOLVED FIXED,P3 normal
240236,useless check code interfere version display use override connection factories,RESOLVED FIXED,P3 major
240237,update director build milestones,RESOLVED FIXED,P3 normal
240238,memory view cannot add pointer char memory region,RESOLVED FIXED,P3 normal
240239,archive exceptions modules ears,CLOSED FIXED,P3 normal
240240,function literal parse errors,RESOLVED WORKSFORME,P2 major
240241,red square show library tree copy paste element customize node icon,VERIFIED FIXED,P3 normal
240242,npe ear validation manifest,RESOLVED FIXED,P3 normal
240243,cell ide code contribution ptp,CLOSED FIXED,P3 enhancement
240244,db platform cause cnfe vendornametoplatformmapping require update latest class change,NEW,P3 minor
240245,jira repository synchronization fail exception,RESOLVED DUPLICATE of bug 239911,P3 critical
240246,adapters ipackageartifact require,RESOLVED FIXED,P3 normal
240247,optimize,CLOSED WONTFIX,P5 enhancement
240248,code base support scenario parameter file,NEW,P3 enhancement
240249,publish constant context page factory,RESOLVED FIXED,P2 normal
240250,event loop exception,RESOLVED INVALID,P3 normal
240251,unable load connection profile export file one miss driver template,RESOLVED FIXED,P3 normal
240252,cancel manage sit still remove sit,RESOLVED FIXED,P3 normal
240253,error deploy web service axis runtime create web service,RESOLVED INVALID,P3 major
240254,category generation do build update site,RESOLVED FIXED,P3 normal with 1 vote
240255,cannot work,RESOLVED WORKSFORME,P3 normal
240256,lose last char attachment description,RESOLVED DUPLICATE of bug 238361,P3 normal
240257,middle mouse click paste data primary buffer text widget aix motif,RESOLVED WONTFIX,P3 normal
240258,branch work copy fail svn connectors,RESOLVED FIXED,P3 major
240259,stack overflow,RESOLVED DUPLICATE of bug 243691,P3 normal
240260,designer provide new widget dimension property,VERIFIED FIXED,P3 enhancement
240261,add birt runtime facet exist project project properties work,RESOLVED WORKSFORME,P3 enhancement
240262,web project runtime preset visible web module,RESOLVED FIXED,P3 normal
240263,cosmos cli need support execution optional argument,CLOSED WONTFIX,P3 enhancement
240264,unsupportedoperationexception,RESOLVED FIXED,P3 normal
240265,cosmos ui show version build id information,CLOSED FIXED,P3 enhancement
240266,output folder source folder,CLOSED DUPLICATE of bug 230050,P3 normal with 1 vote
240267,npe,RESOLVED DUPLICATE of bug 237422,P3 normal
240268,test network connections suggestion,RESOLVED WONTFIX,P3 enhancement
240269,tracker return error preview report,CLOSED WORKSFORME,P3 major
240270,cvs connection ignore network connection proxy,RESOLVED WORKSFORME,P3 critical
240271,internal package exclude javadoc,CLOSED FIXED,P3 normal
240272,unable define new weblogic server instance,VERIFIED NOT_ECLIPSE,P3 normal
240273,available software tab suggestions repository status,NEW,P3 enhancement
240274,cause preview exception,CLOSED FIXED,P3 normal
240275,http temporarily move understand,RESOLVED INVALID,P3 critical
240276,xtend editor recognize class profile,CLOSED NOT_ECLIPSE,P3 normal
240277,available software refresh cancel need,RESOLVED DUPLICATE of bug 232440,P3 normal
240278,parameters order store procedure debug,RESOLVED FIXED,P3 normal
240279,cross browser issue epf wiki toolbar ie linux,CLOSED FIXED,P3 enhancement
240280,allow import xmi uml,CLOSED WONTFIX,P3 enhancement
240281,user cannot go select element double click php explorer,CLOSED FIXED,P3 major
240282,atl console initialise sufficiently lazily,CLOSED FIXED,P2 normal
240283,button miss outline view,CLOSED WONTFIX,P3 enhancement
240284,atl console initialisation corrupt system fonts,CLOSED FIXED,P3 normal
240285,exception preview time,CLOSED FIXED,P3 major
240286,problems encounter delete resources,VERIFIED FIXED,P3 normal
240287,put destination project,CLOSED FIXED,P3 minor
240288,better fix library detection timeout,NEW,P3 enhancement with 2 votes
240289,provide rss eclipse bugzilla,CLOSED WORKSFORME,P3 normal
240290,docshare support n way message,NEW,P3 enhancement
240291,merge problem open comparator,RESOLVED FIXED,P3 critical
240292,setechochar method text work input dbcs character text widget,RESOLVED WONTFIX,P3 normal
240293,web project chart preset visible web module,RESOLVED FIXED,P3 normal
240294,unused class source code,VERIFIED FIXED,P3 trivial
240295,php debug perspective debug view options miss menu,CLOSED DUPLICATE of bug 251525,P2 normal
240296,package javadocs incorrect root folder,RESOLVED FIXED,P3 normal
240297,toc developer guide reference reference incomplete,RESOLVED FIXED,P3 normal
240298,history dialog,ASSIGNED,P3 enhancement
240299,change columns preferences make errors disappear view,CLOSED DUPLICATE of bug 241209,P3 major
240300,restore default work preferences,CLOSED DUPLICATE of bug 241208,P3 normal
240301,apply context patch result afe,NEW,P3 normal
240302,cannot install feature eclipse update site vanilla classic eclipse,CLOSED WONTFIX,P3 normal
240303,database connection error chart,RESOLVED FIXED,P3 normal
