id,title,status,importance
80098,constrain ijavaproject,VERIFIED FIXED,P3 enhancement
80099,erroneus type safety warn,RESOLVED DUPLICATE of bug 79687,P3 normal
80100,method separators,RESOLVED DUPLICATE of bug 13672,P3 enhancement
80101,property sheet lose focus easily,CLOSED INVALID,P3 normal
80102,statcon export throw exception,CLOSED FIXED,P3 major
80103,tabbed task window,RESOLVED WONTFIX,P3 enhancement
80104,maintain consistency jdt ui,RESOLVED FIXED,P3 enhancement
80105,keybindings update run eclipse instal new feature,NEW,P3 trivial
80106,terminate step state cause exception cdt,VERIFIED FIXED,P3 normal
80107,need ability print one help topic time,RESOLVED DUPLICATE of bug 38196,P3 enhancement
80108,last edit work editor,RESOLVED DUPLICATE of bug 32214,P3 minor
80109,cannot open editor work copy icompilationunit,RESOLVED WORKSFORME,P3 enhancement with 1 vote
80110,work,CLOSED FIXED,P1 critical
80111,export class file recompile right java file save,RESOLVED FIXED,P3 normal
80112,export class file recompile right java file save,RESOLVED DUPLICATE of bug 80111,P3 normal
80113,french translation warn bad,RESOLVED INVALID,P3 trivial
80114,annotation type cannot constructors,VERIFIED FIXED,P3 normal
80115,enums support switch,RESOLVED DUPLICATE of bug 77430,P3 critical
80116,abstractworkingsetmanager try get namespace bundle symbolic name,VERIFIED FIXED,P3 normal
80117,search find implicit operator reference,RESOLVED DUPLICATE of bug 78800,P3 normal
80118,outofmemoryerror search test class,VERIFIED FIXED,P3 normal
80119,error xlinker generate ouput,RESOLVED FIXED,P3 normal
80120,ctabfolder layout put top right item one pixel far right,RESOLVED FIXED,P3 normal
80121,project source exclusion filter functional,RESOLVED WORKSFORME,P3 normal with 1 vote
80122,native common base event implementation throw unhandled,CLOSED FIXED,P3 major
80123,literal problem,RESOLVED INVALID,P3 major
80124,stop create file cvs support disable,RESOLVED INVALID,P3 enhancement
80125,fix warn plugin,CLOSED FIXED,P3 normal
80126,allow,VERIFIED FIXED,P3 normal
80127,eclipse crash jvm,RESOLVED INVALID,P3 normal
80128,close stack view possible without open first,RESOLVED WONTFIX,P3 normal
80129,scalability,RESOLVED FIXED,P4 enhancement
80130,,CLOSED FIXED,P4 enhancement
80131,help search enhancements,RESOLVED FIXED,P4 enhancement
80132,enhancements support new users,RESOLVED FIXED,P4 enhancement
80133,cannot open editors expand package explorer,VERIFIED FIXED,P3 blocker
80134,improvements,RESOLVED INVALID,P4 enhancement
80135,ant editor improvements,VERIFIED FIXED,P4 enhancement
80136,breakpoint improvements,VERIFIED FIXED,P4 enhancement
80137,generalize undo support,VERIFIED FIXED,P4 enhancement with 1 vote
80138,add critical performance instrumentation,VERIFIED FIXED,P2 enhancement
80139,initial user experience improvements,RESOLVED FIXED,P1 enhancement
80140,macro record playback,RESOLVED WONTFIX,P4 enhancement
80141,help system improvements,RESOLVED WORKSFORME,P4 enhancement
80142,improve cheat sheet author,RESOLVED WONTFIX,P4 enhancement
80143,pervasive context help pane,RESOLVED FIXED,P4 enhancement
80144,type bound interfere inheritance generic type,VERIFIED FIXED,P3 major
80145,rcp performance,RESOLVED FIXED,P4 enhancement with 1 vote
80146,rcp infrastructure,RESOLVED FIXED,P4 enhancement
80147,osgi,RESOLVED FIXED,P4 enhancement
80148,dynamic,RESOLVED FIXED,P4 enhancement
80149,jnlp support,RESOLVED FIXED,P4 enhancement
80150,support launcher brand,RESOLVED FIXED,P4 enhancement
80151,ant debugger,VERIFIED FIXED,P4 enhancement
80152,concurrency support debuggers,RESOLVED WONTFIX,P4 enhancement
80153,enable collectnewchilddescriptors use xsd substitiongroup,VERIFIED FIXED,P3 enhancement
80154,provide better text editor support rcp,CLOSED FIXED,P4 enhancement
80155,improve compiler check,VERIFIED FIXED,P4 enhancement
80156,improve support externalize string,CLOSED FIXED,P4 enhancement
80157,expose java editor functionality,CLOSED FIXED,P4 enhancement
80158,debugger usability improvements,VERIFIED FIXED,P4 enhancement
80159,ant build file,VERIFIED FIXED,P4 enhancement
80160,press close drop list editable combo,RESOLVED FIXED,P3 normal
80161,builder need incrementally remove xml bean artifacts,NEW,P3 normal
80162,implement library project,NEW,P4 enhancement with 5 votes
80163,improve target support,RESOLVED DUPLICATE of bug 106211,P4 enhancement
80164,support selection expansion errors present buffer,ASSIGNED,P3 enhancement
80165,osgi bundle manifest tool,RESOLVED FIXED,P4 enhancement
80166,anonymous bitfields parse,RESOLVED DUPLICATE of bug 79751,P3 normal
80167,garbage bug ignore,RESOLVED INVALID,P3 normal
80168,fix use deprecate api sse component,CLOSED FIXED,P3 normal
80169,encode correct,RESOLVED WORKSFORME,P3 blocker
80170,filter work correctly method coverage info,CLOSED DUPLICATE of bug 72199,P3 normal
80171,cdt parser understand code add new static variable,RESOLVED FIXED,P3 normal
80172,bad default namespace class,RESOLVED FIXED,P3 normal
80173,react api change webbrowser monitor plugins,CLOSED FIXED,P3 normal
80174,show window empty,VERIFIED FIXED,P3 critical
80175,replace cdt source lookup source lookup provide eclipse platform,RESOLVED FIXED,P3 enhancement
80176,font size discrepancies oss,RESOLVED INVALID,P4 enhancement
80177,plugin specify,RESOLVED FIXED,P3 normal
80178,open resource folders order wrong,RESOLVED DUPLICATE of bug 76496,P3 normal
